,uid,sentiment,text,clean_text,predicted,predicted_proba
8363,19438,neutral,@ Krishna41388460 @ DanewaRahul @ RSSorg is se Tere Savarkar ki cowardice Nahi chupega Jo to ker Raha hai Isko whatbou … https // t co / L7ckN40ZN0  ,krishna danewarahul rssorg se tere savarkar ki cowardic nahi chupega jo ker raha hai isko whatbou … co lcknzn,negative,"tensor([0.7176, 0.1677, 0.1147])"
1204,24623,negative,@ BakhtawarBZ Shame on you & your family jis bhutto k Naam pe Politics kar rahy ho Uski Jooti 👞 k barabar bhi nhe ho tum log  ,bakhtawarbz shame famili ji bhutto k naam pe polit kar rahi ho uski jooti 👞 k barabar bhi nhe ho tum log,negative,"tensor([0.8748, 0.0779, 0.0473])"
12397,28932,negative,@ MohdAsifRose1 Samja chutiye ... Yeh har congress jaise deshdrohi aur tere jaise randwe congress ke supporters ki h … https // t . co / Cbz1xAWir7  ,mohdasifros samja chutiy yeh har congress jais deshdrohi aur tere jais randw congress ke support ki h … co cbzxawir,negative,"tensor([0.7498, 0.1145, 0.1357])"
6044,14721,negative,@ BOLEntOfficial lanat aesy ghatya orton pr lanat aesy program krny walon pr  ,bolentoffici lanat aesi ghatya orton pr lanat aesi program krni walon pr,negative,"tensor([0.8258, 0.1085, 0.0657])"
13145,31620,positive,Increase vacancies for SSC CGL 2017 Sabka Sath Sabka Vikas # IncreaseSSCCGL2017Vacancies … https // tco / 8g72qqE4hp  ,increas vacanc ssc cgl sabka sath sabka vika increasessccglvac … tco gqqehp,neutral,"tensor([0.1712, 0.5977, 0.2311])"
5509,13870,positive,@ atulreellife @ Bharat _ TheFilm Best of luck my love # iloveyoulotofmyloveyou 5 june ke liye god bless you … https // t . co / P4zVjelg7G  ,atulreellif bharat thefilm best luck love iloveyoulotofmylovey june ke liy god bless … co pzvjelgg,positive,"tensor([0.0395, 0.1844, 0.7761])"
3956,9776,positive,@ Nabilgabol Yeh sub aap logo ki dua aur kartoot ka natija hai . Sorry Nabil bhai Abu bachao muhim aur bhi problems l … https // t . co / cKKSf77suB  ,nabilgabol yeh sub aap logo ki dua aur kartoot ka natija hai sorri nabil bhai abu bachao muhim aur bhi problem l … co ckksfsub,neutral,"tensor([0.2842, 0.4813, 0.2346])"
10513,24585,negative,@ sherryontopp Behan ke lodey dekh tere chahte Pakistan mein hinduo ka bina mushkil ho gaya Ram Kal ki 2 betiyon ka … https // t . co / pkYdrFFj17  ,sherryontopp behan ke lodey dekh tere chaht pakistan mein hinduo ka bina mushkil ho gaya ram kal ki betiyon ka … co pkydrffj,negative,"tensor([0.9176, 0.0452, 0.0371])"
14087,35530,positive,@ kumarakash1110 @ kurmiashish2256 @ Iyervval Ye ria congressi hai koi kal isne pakistan ki kisi ghatna ke liye modi ko blame kiya tha  ,kumarakash kurmiashish iyervv ye ria congressi hai koi kal isn pakistan ki kisi ghatna ke liy modi ko blame kiya tha,negative,"tensor([0.5801, 0.2942, 0.1258])"
7197,16804,positive,@ RssKanishk @ ShwetaM78500400 Ssahi baat ... n love jehad me barbad hui ladkiyon ko samaj k taraf se v koi help kavi … https // t . co / bBfwTufDOK  ,rsskanishk shwetam ssahi baat n love jehad barbad hui ladkiyon ko samaj k taraf se v koi help kavi … co bbfwtufdok,positive,"tensor([0.2736, 0.2914, 0.4350])"
11442,27005,negative,@ dev _ pipal @ SanjayAzadSln @ macsingle75 Ye konsa print media authorised hai .. abe chutiye vha pe candidate ke member … https // t . co / h2JtC6IYu2  ,dev pipal sanjayazadsln macsingl ye konsa print media authoris hai abe chutiy vha pe candid ke member … co hjtciyu,negative,"tensor([0.4387, 0.3673, 0.1940])"
14745,37999,neutral,RT @ themohanbabu Wishing the very best for our AP CM @ ysjagan I am sure he will grown bigger than his great father Many more terms ahea …  ,themohanbabu wish best ap cm ysjagan sure grown bigger great father mani term ahea …,positive,"tensor([0.0119, 0.1676, 0.8205])"
4013,9986,neutral,@ khalidsalmani1 @ sanjaynirupam This highlight news telecast at # MadarsaNews aap ko rakhe Aage .. Hamesha Lage raho  ,khalidsalmani sanjaynirupam highlight news telecast madarsanew aap ko rakh aag hamesha lage raho,neutral,"tensor([0.2500, 0.4455, 0.3046])"
13016,30960,neutral,@ IDFCFIRSTBank @ Pia @ shahriravi @ pranay @ nia @ shahriravi @ vkdwivedi21 @ Glam _ Diva13 @ rmallik @ Risrivastav … https // t co / xwJZtX2vvW  ,idfcfirstbank pia shahriravi pranay nia shahriravi vkdwivedi glam diva rmallik risrivastav … co xwjztxvvw,neutral,"tensor([0.0370, 0.6123, 0.3507])"
15913,42504,negative,@ BBCHindi Suwar ki Aulad British Media tujhe bahut chinta ho rahi hai . Jitna India KO tum harami ne banta aur lutta … https // t . co / 5VDSXig9IE  ,bbchindi suwar ki aulad british media tujh bahut chinta ho rahi hai jitna india ko tum harami ne banta aur lutta … co vdsxigi,negative,"tensor([0.8892, 0.0667, 0.0441])"
11882,28036,positive,@ narendramodi Indian Prime minister Shri Narendar modi ji Badhai congratulations  ,narendramodi indian prime minist shri narendar modi ji badhai congratul,positive,"tensor([0.0064, 0.0377, 0.9559])"
1572,34821,negative,@ News18India Tere jaise channel love band hona chaie . Muslim ne sadak par pure parivar ko maar Diya . par tum jaise … https // t . co / q5eV80lXje  ,newsindia tere jais channel love band hona chaie muslim ne sadak par pure parivar ko maar diya par tum jais … co qevlxj,negative,"tensor([0.6528, 0.1999, 0.1474])"
13974,35140,neutral,Lekin farq ye hai arabs k pass tail hai jise wo bech kr khud ko chalate hain or khi jo sirf akela baap bun kr baki … https // t . co / szRhCVtyrK  ,lekin farq ye hai arab k pass tail hai jise wo bech kr khud ko chalat hain khi jo sirf akela baap bun kr baki … co szrhcvtyrk,negative,"tensor([0.6654, 0.2446, 0.0900])"
2177,2212,neutral,@ Bollyhungama @ iamsrk Fake news coz yrf itni badi galti ni krga .. # ShahRukhKhan ko ab action me psnd nhi krgi audie … https // t . co / JAgmdGrOtQ  ,bollyhungama iamsrk fake news coz yrf itni badi galti ni krga shahrukhkhan ko ab action psnd nhi krgi audi … co jagmdgrotq,negative,"tensor([0.5098, 0.2988, 0.1913])"
13155,31698,neutral,@ RahulGandhi ji Aapka vikalp congress to kya is desh me nahi hai Main to kahunga universe me nahi hoga … https // t co / Hswe03Gwf7  ,rahulgandhi ji aapka vikalp congress kya desh nahi hai main kahunga univers nahi hoga … co hswegwf,neutral,"tensor([0.2270, 0.5360, 0.2370])"
3339,7758,negative,@ VoiceofmyBharat Sorry to film Vivek Oberoi ki wajah see fail Hui hai koi achha actor Lena chahiye tha  ,voiceofmybharat sorri film vivek oberoi ki wajah see fail hui hai koi achha actor lena chahiy tha,neutral,"tensor([0.2331, 0.5946, 0.1723])"
1662,37677,negative,RT @ Hussorks @ Akkian _ Beast @ akshaykMartial Bhaitards ka paltu kutta hai ye @ SuperADianNitin Ajay pe tweet karo toh 5 retweet nahi aate Aks …  ,hussork akkian beast akshaykmarti bhaitard ka paltu kutta hai ye superadiannitin ajay pe tweet karo toh retweet nahi aat ak …,negative,"tensor([0.4227, 0.3748, 0.2025])"
15463,40725,neutral,@ Pump _ Seeker @ SanaSayemRao @ areba07 Al-Hamd O Lillah me khud ki kamai pe Zindagi guzar rha hn or 3 families ko support kr rha hn . Ab bolo  ,pump seeker sanasayemrao areba alhamd lillah khud ki kamai pe zindagi guzar rha hn famili ko support kr rha hn ab bolo,negative,"tensor([0.5571, 0.2340, 0.2089])"
14503,37097,positive,Good Morning Cute @ Siva _ Kartikeyan Annaa 💕😍🤗 Happy Sunday Annaaaa 😁😁 https // t . co / go4afvwOVh  ,good morn cute siva kartikeyan annaa 💕😍🤗 happi sunday annaaaa 😁😁 co goafvwovh,positive,"tensor([0.0021, 0.1144, 0.8834])"
10883,25922,neutral,@ punkistan _ Sincerity agar ho to thek otherwise whoi bezti bhe kar saktai  ,punkistan sincer agar ho thek otherwis whoi bezti bhe kar saktai,neutral,"tensor([0.3184, 0.5694, 0.1122])"
2974,6442,positive,RT @ aaliyamahera Safar khoobsurat he mazil se bhi Happy wedding aniversery avneil # Naamkarann # AdiZa # AvNeilSecondAnniversary # Avneil # Zai …  ,aaliyamahera safar khoobsurat mazil se bhi happi wed aniverseri avneil naamkarann adiza avneilsecondanniversari avneil zai …,neutral,"tensor([0.0263, 0.6406, 0.3331])"
1550,33843,negative,RT @ PepeSingh2 # uppscscam Where is opposition ??? where is media democracy fourth pillar ??? kya is country me beef cow Mandir masjid samsan …  ,pepesingh uppscscam opposit media democraci fourth pillar kya countri beef cow mandir masjid samsan …,neutral,"tensor([0.3286, 0.5037, 0.1677])"
13565,33525,positive,@ YOG _ 00 Ur ma everything My backbone for life ily bestie .😭💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜  ,yog ur everyth backbon life ili besti 😭💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜,positive,"tensor([0.0117, 0.3722, 0.6161])"
14747,38013,positive,🏵️ Good Morning @ Gurmeetramrahim papa ji plz bless me more sewa sumiran parmarth ka bal bakhshna ji Dhan dhan sa … https // t co / 0dV6taauuH  ,🏵️ good morn gurmeetramrahim papa ji plz bless sewa sumiran parmarth ka bal bakhshna ji dhan dhan sa … co dvtaauuh,positive,"tensor([0.0016, 0.1195, 0.8790])"
14780,38112,negative,@ DrKumarVishwas @ mlkhattar Bahut hi sarmnak hai ye ghatna ab koi satta ka pujari nhi dekhega sir or na hi koi nari … https // t co / FGMRi15lJk  ,drkumarvishwa mlkhattar bahut hi sarmnak hai ye ghatna ab koi satta ka pujari nhi dekhega sir na hi koi nari … co fgmriljk,neutral,"tensor([0.2566, 0.4843, 0.2591])"
250,1444,neutral,Wkwkwk kalah gw sama anjinganjing ultah trending gw ultah gak trending2 . Happy Birthday Vivi Wish you long life an … https // t . co / SD8OIm42xN  ,wkwkwk kalah gw sama anjinganj ultah trend gw ultah gak trend happi birthday vivi wish long life … co sdoimxn,neutral,"tensor([0.0419, 0.5646, 0.3936])"
16312,44071,negative,Ek time tha jb bjp per congress hass rhi thi or Aaaj congress per Pura India hass rha hi ....😇  ,ek time tha jb bjp per congress hass rhi thi aaaj congress per pura india hass rha hi 😇,neutral,"tensor([0.2096, 0.6079, 0.1826])"
221,1300,negative,Congressi mahino se chilla rahe the 56 inch is bluff Ab dekho kya halat ho gayi 56 seats bhi nahi mili 😂😂 https // t . co / qOMI6ZtwmN  ,congressi mahino se chilla rahe inch bluff ab dekho kya halat ho gayi seat bhi nahi mili 😂😂 co qomiztwmn,negative,"tensor([0.5268, 0.3351, 0.1381])"
3768,9157,neutral,@ aashiforever @ theskindoctor13 Aapne us bande ko block kar diya ab kya fayda share karne ka ? Asli comment to wo deta  ,aashiforev theskindoctor aapn us band ko block kar diya ab kya fayda share karn ka asli comment wo deta,neutral,"tensor([0.2996, 0.6120, 0.0885])"
1372,31037,negative,@ AmitShah @ AmitShah sir Aapne achchha nahi kiya mantri ban kar Aapne apna kad khud hi chhota kar liya is se bjp ko … https // t . co / GSZPj2nUId  ,amitshah amitshah sir aapn achchha nahi kiya mantri ban kar aapn apna kad khud hi chhota kar liya se bjp ko … co gszpjnuid,neutral,"tensor([0.2544, 0.4215, 0.3241])"
4134,10459,positive,@ PMOIndia respected pm many many congratulations sir desh ki trakki ke liye Mera ek sujhaav hamaare desh m shaaml … https // t . co / pEQVyB1FXb  ,pmoindia respect pm mani mani congratul sir desh ki trakki ke liy mera ek sujhaav hamaar desh shaaml … co peqvybfxb,positive,"tensor([0.2968, 0.3074, 0.3958])"
8263,19260,neutral,@ thetemporalmonk @ Riskiest _ Poison @ Atheist _ Krishna Gadho ko to ye bhi nahi pata ki Obama ab president nhi hai US ka 😂🤦  ,thetemporalmonk riskiest poison atheist krishna gadho ko ye bhi nahi pata ki obama ab presid nhi hai us ka 😂🤦,neutral,"tensor([0.3665, 0.4486, 0.1849])"
4152,10537,negative,@ waglenikhil @ Tejasvi _ Surya Paagle You are such an AskHole YOu rant shit all day no one cares u r frustrated an … https // t co / E6PxYrYqph  ,waglenikhil tejasvi surya paagl askhol rant shit day one care u r frustrat … co epxyryqph,neutral,"tensor([0.2451, 0.3959, 0.3590])"
13891,34824,positive,Happy birthday Mairoooo @ MMaitambari May the Almighty bless you with the best of both worlds ! I wish you good hea … https // t co / nuADXqqQVQ  ,happi birthday mairoooo mmaitambari may almighti bless best world wish good hea … co nuadxqqqvq,positive,"tensor([0.0017, 0.1061, 0.8922])"
12623,29653,neutral,Shuru ho gaya inka naatak . Modi keeps someone from BJP-RSS Huh ! Amit Shah is Home minister ! Look what we have co … https // t . co / q7bxjRqJ8Y  ,shuru ho gaya inka naatak modi keep someon bjprss huh amit shah home minist look co … co qbxjrqji,negative,"tensor([0.4007, 0.3804, 0.2190])"
11598,27322,neutral,@_ Mansoor _ Ali Mansoor Ali agar tu Sacha Pakistani he to ye tweets karo Pakistan ke wajood ko khatra he un se go Log … https // t . co / DuTCHq9OW8  ,mansoor ali mansoor ali agar tu sacha pakistani ye tweet karo pakistan ke wajood ko khatra un se go log … co dutchqow,negative,"tensor([0.4872, 0.3556, 0.1572])"
16854,25929,negative,@ RaviSin32483240 @ aajtak @ sardanarohit Beta Burnol laga Debate to sale inke bhee chalega  ,ravisin aajtak sardanarohit beta burnol laga debat sale ink bhee chalega,negative,"tensor([0.7791, 0.1708, 0.0501])"
6603,15693,neutral,Kha se ati h itni pavitr ldkiya jine bc nahi pta 🤣🤣🤣 @ Mr _ villen @ oolikhnewali @ Rashi02920233 https // t . co / oIX6ca3WHI  ,kha se ati h itni pavitr ldkiya jine bc nahi pta 🤣🤣🤣 mr villen oolikhnewali rashi co oixcawhi,negative,"tensor([0.5523, 0.3111, 0.1366])"
10076,23517,neutral,@ STUPIDREACTIONS you have seen an KIDNAPPING film I think you are almost good to watch APHARAN (🔈 UP-haa-run ) ( mea … https // t . co / uQfkfYkrin  ,stupidreact seen kidnap film think almost good watch apharan 🔈 uphaarun mea … co uqfkfykrin,neutral,"tensor([0.0715, 0.6286, 0.2999])"
6014,14676,positive,Modi ji ki is Etihasik jeet ke liye Hamari tarf se dher sari subhkamnaye I love modi I love my India Bharat mata ki … https // t co / B1Mii2evW0  ,modi ji ki etihasik jeet ke liy hamari tarf se dher sari subhkamnay love modi love india bharat mata ki … co bmiievw,positive,"tensor([0.0110, 0.0623, 0.9267])"
6606,15698,positive,RT @ taeyongaresx ꕊ 𝐂𝐡𝐚𝐩𝐭𝐞𝐫 𝟔 / 𝟏𝟐 #𝐉𝐮𝐧𝐞𝐖𝐢𝐬𝐡 ꕊ You are the best thing that ever happened to me ♥︎ ผ่านไปแล้วครึ่งปี ขอบคุณทุกคนที่อยู่กับผ…  ,taeyongaresx ꕊ 𝐂𝐡𝐚𝐩𝐭𝐞𝐫 ꕊ best thing ever happen ♥︎ ผ่านไปแล้วครึ่งปี ขอบคุณทุกคนที่อยู่กับผ…,neutral,"tensor([0.0539, 0.6994, 0.2467])"
8857,20463,positive,@ narendramodi Jai bharat congratulations p m modiji ke uper pura bharat ko Viswas hai p s rajpurohit 9949436427  ,narendramodi jai bharat congratul p modiji ke uper pura bharat ko viswa hai p rajpurohit,positive,"tensor([0.0667, 0.1034, 0.8299])"
12371,28888,negative,@ seematri6 Yahi hai Congress Party kee Yogyata . Congress Party mein Gandhi's ke bagair koi bhi candidate Party Adhyaksh ke kabil nahi ...  ,seematri yahi hai congress parti kee yogyata congress parti mein gandhi ke bagair koi bhi candid parti adhyaksh ke kabil nahi,negative,"tensor([0.4597, 0.3829, 0.1574])"
8133,19034,negative,RT @ kunalkamra88 You mean our problem was being democratic ? Vivek tum jo katori main attention ki bheek mang rahe ho uspe khoon laga hai .…  ,kunalkamra mean problem democrat vivek tum jo katori main attent ki bheek mang rahe ho usp khoon laga hai …,negative,"tensor([0.5542, 0.3707, 0.0751])"
16350,44216,negative,@ GdBakshiJe Aisey hi paon tale inke Armaan aur ye khud kuchle jayenge Aab nahi chalegi ye deshdrohi wali mansikta … https // t . co / 45Xv1LwdLq  ,gdbakshij aisey hi paon tale ink armaan aur ye khud kuchl jayeng aab nahi chalegi ye deshdrohi wali mansikta … co xvlwdlq,negative,"tensor([0.6208, 0.2522, 0.1270])"
9868,22799,negative,RT @ vanish _ forever Repeat after me . Hindi . Is . Not . The . National . Language . Of . India .  ,vanish forev repeat hindi nation languag india,neutral,"tensor([0.3203, 0.4792, 0.2005])"
14232,36102,negative,# NCT127 _ SUPERHUMAN # WE _ ARE _ SUPERHUMAN Every song On The fkn album Just Took My wig away stream jet lag  ,nct superhuman superhuman everi song fkn album took wig away stream jet lag,positive,"tensor([0.0274, 0.2876, 0.6850])"
1666,37921,neutral,@ divya _ amanna Tamil nadu me chodo delhi ke pvt schools me hindi ki buri halat he 9th ke baad hindi he hi nahi  ,divya amanna tamil nadu chodo delhi ke pvt school hindi ki buri halat th ke baad hindi hi nahi,negative,"tensor([0.5744, 0.2875, 0.1381])"
3915,9624,neutral,@ OfficeOfHB Bahut bhut subhkamnaye or badhai bhai hanumanG beniwal ko https // t . co / ILR0fTrJfC  ,officeofhb bahut bhut subhkamnay badhai bhai hanumang beniw ko co ilrftrjfc,positive,"tensor([0.0215, 0.2159, 0.7625])"
1437,31631,neutral,@ SchakrabartiEP @ santosh _ padala @ glen _ bug @ jaykoneru @ TimLarsen1 @ KennethEllenbo1 @ BiosenseWebster @ josoriomd Well … https // t co / v2WdYveusV  ,schakrabartiep santosh padala glen bug jaykoneru timlarsen kennethellenbo biosensewebst josoriomd well … co vwdyveusv,neutral,"tensor([0.2608, 0.4487, 0.2905])"
15487,40812,neutral,@ bijoy _ vibhor85 @ Dreamer4927 @ anoistics @ AmbreenPTI1 @ BeingSNK @ AishaaKhaan _ Wo to me bata dungi .... lkn ye me ne kdhr likha he .??  ,bijoy vibhor dreamer anoist ambreenpti beingsnk aishaakhaan wo bata dungi lkn ye ne kdhr likha,neutral,"tensor([0.1197, 0.7009, 0.1794])"
6198,14993,neutral,@ LetsTalkJessica War Games is one of the best Doctor Who stories ever btw That ’ s a hill I will gladly die on I ha … https // t . co / 4bJpAeGHPb  ,letstalkjessica war game one best doctor stori ever btw ’ hill gladli die ha … co bjpaeghpb,neutral,"tensor([0.2184, 0.4930, 0.2886])"
13494,33181,neutral,bikul sahi hai ... ab jo bhi hai khairat me hai lena hai to lo nahi to kat lo .... https // t . co / 0ub285haEQ  ,bikul sahi hai ab jo bhi hai khairat hai lena hai lo nahi kat lo co ubhaeq,negative,"tensor([0.4337, 0.4216, 0.1448])"
3930,9688,neutral,@ erbmjha @ TajinderBagga @ sardanarohit Wohi to hypothetically toh Raul Vinci bhi Rajiv Gandhi ke suputr hain but … https // tco / wZDcXgfpEC  ,erbmjha tajinderbagga sardanarohit wohi hypothet toh raul vinci bhi rajiv gandhi ke suputr hain … tco wzdcxgfpec,negative,"tensor([0.4197, 0.4015, 0.1788])"
11715,27539,positive,RT @ commoninsaan @ HathwalaThakur @ Prince _ Khanji @ Malala she is not bad bro Atleast gaddar toh nahin hai na jaise humhare Desh mein hai …  ,commoninsaan hathwalathakur princ khanji malala bad bro atleast gaddar toh nahin hai na jais humhar desh mein hai …,neutral,"tensor([0.3406, 0.4471, 0.2122])"
667,3318,neutral,@ javerias Jab Kapra eejaad nahi hoova tha to Janwer ki Khaal hi Sardion me Jisam ko Sardi say bachanay kay waastay … https // t . co / p0ATcHdKyn  ,javeria jab kapra eejaad nahi hoova tha janwer ki khaal hi sardion jisam ko sardi say bachanay kay waastay … co patchdkyn,neutral,"tensor([0.2493, 0.6268, 0.1239])"
3993,9909,positive,Happy bdday @ tehseenp May god bless you . 😃 enjoying the day  ,happi bdday tehseenp may god bless 😃 enjoy day,positive,"tensor([0.0789, 0.3657, 0.5554])"
3306,7649,negative,@ retheeshraj10 Let's check all the EVMS and VVPAT of GUJARAT alone ... Sab samajh Aa jaega ... Why select and choose … https // t . co / dIdnouaaPo  ,retheeshraj let check evm vvpat gujarat alon sab samajh aa jaega select choos … co didnouaapo,neutral,"tensor([0.2812, 0.4877, 0.2311])"
8002,18800,negative,@ SubhashPophale @ SimplyAshokKr @ vikasbha @ abpnewshindi Even the person sharing it knows it is fake not only this v … https // t . co / lMZhgXXDQS  ,subhashpophal simplyashokkr vikasbha abpnewshindi even person share know fake v … co lmzhgxxdq,neutral,"tensor([0.1504, 0.5174, 0.3322])"
8995,20814,neutral,RT @ naveednadeem91 New Zealand World Cup jeet jaye almost utni hee khushi hogi jitni Pakistan k jeetne ki hogi . Have always had a high l …  ,naveednadeem new zealand world cup jeet jay almost utni hee khushi hogi jitni pakistan k jeetn ki hogi alway high l …,positive,"tensor([0.1625, 0.4073, 0.4303])"
13619,33744,positive,Good is duniya ko pyaar our pyaar karnay walon ki zarorat hai . 😋 https // t . co / ASGmcNOKA9  ,good duniya ko pyaar pyaar karnay walon ki zarorat hai 😋 co asgmcnoka,positive,"tensor([0.0607, 0.3662, 0.5731])"
13794,34420,neutral,@ sadhavi @ RahulGandhi BJP ne JDU ko jyada seat se ladne diya Iska matlab yeh nahi tha ki BJP kamzor hai par inka f … https // t co / yckYyx4XXT  ,sadhavi rahulgandhi bjp ne jdu ko jyada seat se ladn diya iska matlab yeh nahi tha ki bjp kamzor hai par inka f … co yckyyxxxt,neutral,"tensor([0.3984, 0.5225, 0.0791])"
15984,42755,neutral,@ jappsh @ jamnagarrdx @ Puncasticguy @ riyal _ dhuvad @ n _ hiral 😂😂😆😆😆 heiii 🤔🤨🙄🙄 muje kuchh kaha kisi ne 😂😆🤣🤣🤣😂😂🙈🙈🙈  ,jappsh jamnagarrdx puncasticguy riyal dhuvad n hiral 😂😂😆😆😆 heiii 🤔🤨🙄🙄 muje kuchh kaha kisi ne 😂😆🤣🤣🤣😂😂🙈🙈🙈,neutral,"tensor([0.2355, 0.6463, 0.1182])"
12889,30488,negative,@ sardanarohit Es desh me tum jaise chutiye rahege to kaise koi apna party ka prawakta bhejega midia to desh ka 4th … https // t co / S2h1s8cTws  ,sardanarohit es desh tum jais chutiy raheg kais koi apna parti ka prawakta bhejega midia desh ka th … co shsctw,negative,"tensor([0.8166, 0.1201, 0.0633])"
11938,28135,negative,@ suhailswarraich Shame Shame Shame on you Mr . Sohail kiya tum ALLAH RABB UL IZZAT KAY EHKAMMAT ko maan'nai sai i … https // t . co / hccVlgtVhS  ,suhailswarraich shame shame shame mr sohail kiya tum allah rabb ul izzat kay ehkammat ko maannai sai … co hccvlgtvh,positive,"tensor([0.2160, 0.2470, 0.5370])"
9653,22418,neutral,I just had golgappay limca and ice cream . Sbha gala tou kharab nahi huga ???  ,golgappay limca ice cream sbha gala tou kharab nahi huga,neutral,"tensor([0.3535, 0.4877, 0.1589])"
5110,13192,negative,Tumhari sabha me Tumhari gandagi sun kar vote bjp ko diye soch Es aadami ko to bahut diyaa baap ko diya to jail ga … https // t co / ODgG6yzxhd  ,tumhari sabha tumhari gandagi sun kar vote bjp ko diy soch es aadami ko bahut diyaa baap ko diya jail ga … co odggyzxhd,negative,"tensor([0.9137, 0.0524, 0.0339])"
1573,34832,negative,RT @ kiIIuatwt * krpk voice * real ass kurta give a fuck bout a spider  ,kiiiuatwt krpk voic real ass kurta give fuck bout spider,neutral,"tensor([0.2938, 0.4941, 0.2121])"
7960,18730,positive,My love friend Sapna ji ma aapka dil churalunga key ki hame aapk dil ma rahte h aap too mar dil ma ho my love frien … https // t . co / vI2ZpOjGJt  ,love friend sapna ji aapka dil churalunga key ki hame aapk dil raht h aap mar dil ho love frien … co vizpojgjt,positive,"tensor([0.0167, 0.1301, 0.8532])"
