Uid,Sentiment,clean_text,proba,preds
17946,positive, Cheers lad . You lot just having a really good season hate to say that tbh but never forget that . Good luck for next season !  ,[-2.0657969 -0.5222204  2.252588 ],2
843,neutral,   Hahaha ye bnda hrksi ko kafir kehta rehta ha Apne ilawa isay koi musalman nazr hi niata  ,[-0.24510324  0.46666193 -0.30351728],1
23329,neutral,    jai jai jai AKHELISH jai SAMAJWAD PIR 5sal jhelna padega na â€¦  // t co / avmQMEXZDQ  ,[-0.9690623   1.4797696  -0.27574378],1
43516,negative,JcdPs moulladad k hudood Goth faqeerabad me 3 chor chori karty hue Gaon walon k hath pakry gaye 1 Farar police ky hawaly . Nabi bux Pandrani  ,[ 1.4484717  -0.19409488 -1.3658293 ],0
13712,positive,Unse toh achchi hai yeh cigarette ... dil ko jalati hai magar hoton pe toh aati hai .....ðŸ’”ðŸ’”ðŸ’” SMOKING AND LOVE BOTH C â€¦  // t . co / rx1AYhkDCA  ,[-0.7756744   0.07686649  0.48082155],2
4424,positive, All the best Team India Jeet ke aana ðŸ‡:registered:ðŸ‡³ðŸ‡:registered:ðŸ‡³  ,[-2.9200091  0.7763334  2.0993168],2
11422,negative,   Alina butt fayyaz hasaan jsa kutta aur begarit admi ha he ni is dunia â€¦  // t . co / 91BQl9jx8Q  ,[ 1.9193354 -0.3764014 -1.6022518],0
17588,positive,  _ Zeeshan09 Main Turpeya Ghar se Dur # TurpeyaSong Mind Blowing Song Bhaijan ðŸ”¥ðŸ”¥ðŸ”¥ # Eid2019 # Bharat # BharatThisEid # 14DaysToBHARAT h â€¦  ,[-2.846065    0.20867772  2.2625117 ],2
8745,neutral, Esa koi exam nahi up govt . M jo in 2 saal m leak na huaa hu Ye to sarkar ki rajniti h ki na to ham â€¦  // t . co / S1s6PxoHiJ  ,[ 0.6212417  0.7991667 -1.4239727],1
37006,positive, _ adi1 Listen to # Duniyaa from # LukaChuppi . I guess you'll love it ..!  ,[-2.8355577  1.1098254  1.4227761],2
29291,neutral,  Shall we get a few more Streams in of BOY WITH LUV Before the Wembley Concert Starts ?? Leave a Screen of your Stream ! ðŸ‘‡â€¦  ,[-3.0182486  1.5122991  1.3083652],1
5905,neutral,  Secondly maa baap ki izzat b koi cheez hoti hai . Har cheez ko support karna band karo . Just because she is a woman doesn â€¦  ,[ 0.29432064  0.76117957 -0.9339741 ],1
27921,neutral,Maleeda Sugar Free-Cholestrol Free-Gluten Free Yug me log sonch bhi nahi sakte ... ðŸ˜  // t . co / 8928pYsnwY  ,[-1.079961   2.1545093 -0.4801774],1
8762,positive,  I trust Dhanya to be active when it comes to women's issues .  ,[-2.6231203  0.3525237  1.8670485],2
42612,negative,Aur godi media vale ko ab v aankhe nhi khuli to Desh rasatal me chala jayega .  // t . co / byeS5LVZQi  ,[ 1.2936418   0.04620261 -1.273056  ],0
34997,neutral, government job ke bare me sharkar ku responsible nahi vacancy itni kam aur vo final nahi kar va pa r â€¦  // t . co / gdatpvcuFQ  ,[-0.11508357  1.1955845  -1.2684358 ],1
10988,negative,Shame Shame ....!! Tu kese jinda hai twitter me ? Tujhe sharam nahi aate hai kya ?? Tere upar Modi ne Dalali Kiya . T â€¦  // t . co / j8ZP2zPD8q  ,[ 2.1605678  -0.28278738 -1.6502982 ],0
14844,negative,Abay Ab b Tum log Zinda ho Sharam hoti he koi Haya hoti he Tuo Khud tu kamata nhi Jo tukhe atay k Bhao ka pata ho M â€¦  // t . co / us5jFzBRGq  ,[ 0.3017792   0.27189636 -0.62671566],0
3014,neutral,  pehle to janta ne priyanka vadra gandhi ki jam ke chuski le li hai ... ab uska dhol ba â€¦  // t . co / 8X1FaF7WO4  ,[ 0.51000303  0.6675325  -1.1066062 ],1
20448,neutral,chalo bhai tum chahe din bhar opinions kyun na rakh lo but someone else starts having opinions without bothering yo â€¦  // t . co / 4086iGSpNx  ,[ 0.48657656  1.3687577  -1.3862197 ],1
23905,negative,Ab btaao ki isko samprdaayik roop kisne diya us ldke ne ya muslmaan ne ?  _ IND  â€¦  // t co / HTPf2MAhxO  ,[ 1.378157    0.17422725 -1.5125722 ],0
37296,neutral, _ Rohatgi  Tweets people do when they are irrelevant to the point ki koi ghaas nahi dalta  ,[ 0.33898473  0.82519543 -1.0022237 ],1
42856,neutral, No ðŸ˜… omg I can't remember which place that was I need to look lol  ,[-1.4400464  2.5501769 -0.6799775],1
29080,negative,  _ Kaun kaun iss baat se sehmat hai ki BJP urf RSS CONGRESS ki galatiyo ka phal hai ?  ,[ 0.67321813  0.34701532 -1.108584  ],0
10822,positive, Dear Our PM Sree Narendra Modi ji Sir Ham Apke big fan hai sir please yadavo ke laaz ko Aap bachha ka â€¦  // t co / lFcugw92aD  ,[-2.8988     0.3613616  2.2139769],2
27237,positive,  Bade bade deshon mein aisi chhoti chhoti baatein hoti rehti hain ! Celebrate the freedom of love with Durex # LoveIsLove htt â€¦  ,[-2.0585465   0.09524346  1.7386558 ],2
31449,positive,  Good bhai very good abhi se 2024 ka prachar karna shuru tv k maadhyam se . Ye apki niji raay h â€¦  // t . co / oeNLpz09rL  ,[-2.6027384   0.39236623  2.2350614 ],2
10734,neutral,  _ rao1 Desi moms ki Kam krny ki ajeeb science hoti hai . Aur Agr na mano to foran Dozakh ki dhamki ðŸ¤ðŸ˜Ÿ  ,[-0.46000186  0.4393186  -0.23216829],1
5739,neutral,  How's the # chamche Kya haal hai chamcho ka Bada chilla rahe the Lahul Gandhi bn Gaya pm ðŸ˜€ðŸ˜€ðŸ˜€ðŸ˜€ðŸ˜…ðŸ˜€ðŸ˜…ðŸ˜€ðŸ˜…  ,[ 0.13497157  1.2842058  -1.3328581 ],1
41105,negative,  _ 96 hamari education system hi chutiye jaisi h ... ghanta achi job milegi . BC itne faltu subjects & alag alag languages padhayi â€¦  ,[ 1.764426  -0.3973891 -1.4449805],0
13394,positive,# StayAwayFromHypocrisy  Good morning guru g Bless nd give us power 4 Sewa Simran nd Parmarth Dh â€¦  // t co / L8iOMoriDG  ,[-1.7781512  -0.38457948  2.1813545 ],2
30013,positive,à¤¸à¤µà¤¤à¥€à¤¨ # HIT _à¤¸à¤ˆà¤¯à¤¾ _ FIT Bhojpuri song 2019 super hit shishir panti thakur ...  // t . co / EBGheRPK3A via   ,[-2.4477627  0.577189   1.7571691],2
11032,neutral,Bhai ye to sahi h . mgr hamare pas h hi kya . Bjp ne to achut bna hi diya h . Nfrat bhir hi di logon ke dilon me . Khuda â€¦  // t . co / QY5A9wAccl  ,[ 0.2526338  0.4425063 -0.6573636],1
19785,positive,Wish you many many happy returns of the day  I pray god for your good health and fortune â€¦  // t co / v8UVVlTXxk  ,[-2.295211    0.00977615  2.2760572 ],2
21293,positive, guy groove has really fun choreos ! oh haha it doesnt matter jake and erica really do choose good songs tho  ,[-2.7966304  -0.06751819  2.248733  ],2
21155,neutral, Gud mrng Actually aapka msg box show naHi kar raha hai otherwise mai aapko msg hi karta Aap mjhe ek msg â€¦  // t . co / 89XTbVWhUV  ,[-0.51558703  1.4260814  -0.81108505],1
6056,negative,Es me koi shak nahi k PTI hakumat me opposition siraf apne corrupt leaders ko bachane k lie bhonkte hain mulk k lie â€¦  // t co / eb6HYYgu00  ,[ 1.7479899  -0.19960527 -1.4642857 ],0
20984,neutral, My complain is network issue mere area me baar baar 3G network chala jate hai aur iski bahut baar co â€¦  // t co / sbGbhjXgp8  ,[-0.12636805  1.8920525  -1.2208616 ],1
25856,positive,  AWW BBY ðŸ˜­ðŸ’–ðŸ’– I LOVE U SO MUCH my dms are always open ðŸ˜‰  // t . co / 4MQkP7nxo4  ,[-2.6298633 -0.3570117  2.4985561],2
8240,negative, Sir leave ..... maza nae ha Pakistan ma kici b media journalist ka .. q k yahn koe such Bolta e nae  ,[ 0.84171206  0.24312645 -1.0723034 ],0
21721,positive,Today is big festival meri Bharath ma ka beta pure viswa me raaj karega sabke dil me sirf ek naam ' Modiji ' Bharath matha ki jai  ,[-2.8829374  1.1161376  1.7791955],2
27783,positive,  Aaj ki # sheri thank you # farhanqiser lovely meeting you all # kamranjillani # adnanjillani # irfanmw # adilmurad # nomanmaso â€¦  ,[-2.8244882   0.27643067  2.3807569 ],2
19625,positive,What an awesome ending to an epic drama # ranjharanjhakardi We will miss you  as # bhola on our scre â€¦  // t . co / 55P9aTgWwZ  ,[-2.713764   -0.05840212  2.4945712 ],2
35006,positive,Hiii i just made this acc and i want khh and krnb mutuals !!! i love sik k dpr live crush heize offonoff jus like this or follow me hehe  ,[-2.6838899  1.0406736  1.3766056],2
17660,negative,  _ ali _ k    Present jo hai aapki deklo shameless beggars India is fastest growing Â  major Â â€¦  ,[ 1.356331  -0.4250989 -0.834522 ],0
23605,neutral,   _ vikash  _ deepakj   He said not just bjp ppl r Hindus even v r Hindus But as in politics t â€¦  ,[ 0.53968674  0.9393394  -1.2045487 ],1
17224,negative,  _ chauhan Hindi Rajbhasha he Rashtrabhasa nahi Kripya 10wi tak ki padhai kare  ,[ 0.7127213   0.21889086 -0.82367635],0
23874,neutral, _ fatiiiii Nhi yaar yahan tw 1year walo k bhe khatam ho gye thy  ,[ 0.57005113  0.6389201  -1.0952885 ],1
11284,negative,  Woh sab to theek hai par tumhara sore loser kaha hai !!! Pyaar baant raha tha ab swearing in â€¦  // t co / 6ubZ8R4rKx  ,[ 0.81368697  0.22133414 -1.0553294 ],0
22701,neutral,  _ Ben _ Kay   So you should be able to evidence your claim . But you can â€:trade_mark: t . You made it up .  ,[ 0.1507726   0.57294196 -0.88415915],1
25926,positive,  I am sorry for being rude . No I am sorry . It was my fault . Hehe I love you . I love you more . â¤ï¸ Beautiful are those â€¦  ,[-1.9450232 -0.5855926  2.0681846],2
11652,neutral,EID ke iss Mubarak mauke par Unik Bazar lekar aaya hai aapke liye dhamekedaar offers Karein 3000 Rs ki khareedari â€¦  // t co / YHoCCjnKpP  ,[-0.6236347  1.6168993 -1.0988412],1
9458,negative,   # HNY2 ki announcement hogyi to humka iss gola me nhi rehna hum nikal jaounga dusre gola me  ,[ 1.1734134   0.37873566 -1.4174255 ],0
11081,neutral,kuch apke banaye huye rishte boht khaas hoty hain phr woh apki life mein rahy nah rhy apke dil hamesha rehty or yeh â€¦  // t . co / vebWBOAkRX  ,[-1.019533    0.85187     0.12738372],1
7285,positive, Sir Bhim Army join karna Chahata hu M Please help m From Mp ðŸ:trade_mark:ðŸ:trade_mark: Jay bhim Jay Bharat  ,[-2.271006   0.6773687  1.5996034],2
2764,negative, _ shawn Not this again . Liza and haaru legit had a desi rotten egg on timeline last niggt . With chutiya chutiya everywhere  ,[ 2.5999575 -0.8966204 -1.6489428],0
40419,neutral,  Ye hai fasism ka phla stape ... 2022 target ... Hehe .. Ensan bnaya hai eshwar ne ...... Ldo aur mro  ,[ 0.17789765  0.39426032 -0.7889894 ],1
44227,neutral,  ðŸŽ¶ We've got a beatastic prize up for grabs ðŸŽ§ We've teamed up with our friends at  & giving you the chance to # WIN a pa â€¦  ,[-2.9962082  1.6182108  1.2112345],1
21965,negative,   Double attack Modi ka sath gaya Rahul ka Mila Ho gaya khela  ,[ 1.1099951   0.05663718 -1.0565836 ],0
25875,negative, Chutiya gaye hain chuse huye aam ke fans ðŸ˜ disaster saala khud toh khel leta hain ladkiyon ke saath phir â€¦  // t co / Ftbg9hVpUs  ,[ 2.5271654  -0.72073954 -1.8969011 ],0
21921,neutral, _ Sharma4 Congress kuj v krle koi fayda nahi Jo hindutva ka teer BJP ne chlaya hjab tak uska todd nahi nik â€¦  // t . co / FiEiOIRVR4  ,[ 0.6630619  0.7140698 -1.2117124],1
18535,neutral,  _ MEENA _ NKT  Election Commissioner haram khor ne sabh ke vote usko bech diya . Pai â€¦  // t . co / M6btp0F6s3  ,[ 0.6372349   0.81804204 -1.4665303 ],1
5278,positive,Sab free kar dete hai sir sab bheekh maang kar jeeyege  // t co / 8vHkWztg9b  ,[-2.5145938  0.9839312  1.4063722],2
10444,neutral, _ durrani  _ quraishi PTI walon ka problem ye ha Wo mehngai ko b defend kar rahy hine . Haha  ,[ 0.18037453  1.4311566  -1.2322413 ],1
43225,positive,Visvas kumar great leader i don't know but he is great human and we like his performance ðŸ˜„ðŸ˜„ðŸŽ¤  // t co / vzWRzwSdpH  ,[-2.3949525  -0.41750658  2.6198597 ],2
28263,neutral,  RSS k thee isliye Kyuki kabhi koi veerta ka kaam kartey nahi  ,[ 0.1673136   0.86168987 -0.93210965],1
37439,positive,Thank you so much apka ek new india banane ke liye Koti koti pradam apko  ,[-2.4690094  0.5354667  2.0777087],2
1500,neutral,  DreTekDem One thing I â€:trade_mark: ve realized you can â€:trade_mark: t force nobody to see the bigger or to see that you got them when nobody else does . Imma ju â€¦  ,[-1.1608702   1.2875869  -0.12222433],1
27390,negative, Tu gulam hi or gulam rahega murkha bevkuf Desh drohi tu Pappu Khan ka mutre pe or Pakistan ja maderchd  ,[ 2.0331256  -0.65613455 -1.4879613 ],0
5166,positive,  â€œ Zindagi har lamha hai khushi kar isse dosti o yaara ve â€¦ â€ dedicate this special song to your besties sung by legendar â€¦  ,[-2.7111778  1.1412748  1.3622968],2
17,negative, Shukar hai ye pathan nae warna # PTM nay is pr b wae dramay krnay thay . In ki harkato ki waja say bht jal â€¦  // t . co / u7k1EUYpk3  ,[ 0.6170574  0.5741529 -1.0373194],0
17475,negative, Ek dum sahi kaha TV news ke jariye naam kaam liya paisa bana liya or ab boycott ka natak ... Joker saale  ,[ 1.8868045  -0.30654562 -1.6459641 ],0
24131,negative, Fauj ko generally free hand hota hi hai . Par unki 1 limit hai jiske aage politicians ki responsibil â€¦  // t . co / x3bQEwPcaF  ,[ 0.66600794  0.6203374  -1.2189566 ],0
14972,neutral, _ amit   _ bandvi   Bhai kaun janta hai ki usi ne karayi hai ab w â€¦  // t co / C2n4bK1aCz  ,[-0.69484276  1.4849151  -0.50142235],1
42421,neutral,  Congrats .. Asia subha apka nam nahe lia dekho retweet de dia na ðŸ¤—ðŸ¤—ðŸ¤—ðŸ˜˜ðŸ˜  ,[-2.0899532  1.283562   1.0037398],1
26724,neutral,   Rahul gandhi ne yeh kya sandesh desh ko diya ki party president ko power nahi â€¦  // t . co / nWArcx79FS  ,[-0.2918395   1.2242572  -0.72139394],1
37891,negative,Modiji to Mota Bhai - 100 run banate nahi Puri Pakistan ki team se aur inn chutiyo ko World Cup jeetna hai !!!â€¦  // t . co / wCttUcKijP  ,[ 2.141653   -0.45351017 -1.5196781 ],0
11377,negative,Aise seedhe muunh pe bol diya  bada potato ..... Sad ( We boycott you  _ amanna  // t . co / qyLEXvCZ0l  ,[ 1.7151536 -0.5572599 -1.3489078],0
20601,neutral,  ACTION NEEDED The RHA will be heard in the Senate Public Health Committee tomorrow (5/30) at 900 AM Please fill out â€¦  ,[-2.1808398  2.593777  -0.2646257],1
7232,neutral,  _ singh0710 gussa ho sakta h bura hoo Par sabse jyada sachai ko gussa hi niklwaata h right or wrong ? ???  â€¦  ,[ 0.39126545  1.338103   -1.3595753 ],1
30579,neutral,KUTCH NAHI DEKHA TOH KUCH NAHI DEKHA FOLLOW  FOLLOW US ON FACEBOOK  // t . co / TP5WurymTr FOLLOW US O â€¦  // t . co / jjgLsiG22q  ,[-0.7744097  2.0771654 -1.151437 ],1
9185,negative,  Such kaha apka masla kya ap tu phatano k name p syasat kr rahy ho chutye ghaddar insan  ,[ 2.3333788  -0.91061604 -1.4935803 ],0
1918,neutral, Kya media ne theka liya hai Congress ko improve karne ka ? 130 saal purani buddhi jarjar aur sadi g â€¦  // t . co / GJxmjNh8g4  ,[ 0.37834457  0.8898014  -1.1772206 ],1
4134,positive,  Jai Shri Ram is the mark of respect to Bhagwaan Ram   ,[-1.8710309   0.84425956  1.0192376 ],2
15585,positive,  Lots of lots best of the best Wishes the Team Modi Sabka Saath Sabka Vikas Sabka â€¦  // t co / CtHpGhsp5B  ,[-2.3825698 -0.3043456  2.4530067],2
30146,neutral,    _ dir Pehle chalta tha ab nahi pichle 2 saal ki Bollywood ki track check â€¦  // t . co / VZKticNi3R  ,[ 0.18804267  1.3188598  -1.3335966 ],1
20936,neutral,  # 32YearsOfMrIndia ( May 29) Hawa Hawaii Karte Hain Hum Pyaar Kaate Nahi Katte Zindagi Ki Yahi Reet Classic superhero mo â€¦  ,[-1.499143    1.2901955   0.01304209],1
20757,neutral,  # Ramzan rush got  to turn into traffic cop for a while at Fateh Darwaza ðŸ˜„ We feel your pain .. # Hyderabad # Cha â€¦  ,[-0.42969394  0.98947376 -0.2882005 ],1
4304,neutral, zindagi _ 5 Muslim samaj ki kutchh ldkiya pakke taur par ' din e islam ' ko manti hai agar usko kisi non muslim se lo â€¦  // t . co / s8K0bGDa3X  ,[ 0.36620113  0.4379683  -0.76293504],1
24009,negative, Sacchi debate se bhagne wale congressi nahi hote . Punjipati yonke ishare par nachanewale media wa â€¦  // t . co / ssMJo9xRA3  ,[ 1.2601101   0.23324011 -1.5824596 ],0
10865,negative, The _ Daredevil  _ pant Andhbhakto ki sulgaane me bahut mazaa aata hai tumhara hijda baap modi kabhi b sahi â€¦  // t co / QPnT6n3kZ5  ,[ 0.98823327 -0.04209478 -0.929017  ],0
11302,negative,  ghutan si hone lagi uss ke paas jate hue main khud se rooth gaya hun usey manaate hue ~ Azhar Iqbal  ,[ 1.5105708  -0.52027315 -1.1110054 ],0
12308,negative, Aabe got 0 claimed 40 Kuch to bol kaya huaa !!!! Tuzhe to fayada hi hua na Ticket bech Kar Paisa banaya tum ne  ,[ 1.0821372   0.15644439 -1.3027903 ],0
13925,negative,  Ab ek aacha aur positive comment dekhne ko mila ...... Hope fir se acche din aa jain .... I miss those days .  ,[ 0.32168788 -0.21102877 -0.24548152],0
21861,positive, Best dua yeh sab results tou dunia wi hai onke dar se tou buss onhe ke ataat chahye aur bulawa  ,[-1.384844    0.20655815  1.0785012 ],2
23801,neutral,Bta den plz hm intezar kr rhe rhe hn   // t . co / XvYgWyFAOa  ,[ 0.03796848  0.82275873 -0.7453279 ],1
12919,positive, guru g give bless m more sewa simrn parmarth study gd mrng papa g  ,[-2.1616006  0.8713675  1.2979262],2
32382,neutral,  _ TheFilm     Jarur bhaijaan ... I'm excited about it  ,[-2.6077437  1.406266   1.1653618],1
9363,positive, Mere taraf se aapki mom Ko unki Janam diwas ki dher sari subhkamnaye ðŸ:trade_mark:  // t . co / fM9bigX583  ,[-2.8022652  0.6269853  2.0247905],2
24884,negative, Tumhare baap aur khandan kia apni kamaye se Umrah karte the ? tum bc Randi ki bachi mo band kar k be â€¦  // t . co / AW18Yuy1Ml  ,[ 2.4202714 -0.5327117 -1.7565464],0
6705,neutral,# Repost  Thanks for sharing ðŸ˜Š [ JANG KEUN SUK FILM CONCE TOUR ] We're kicking off June performances â€¦  // t . co / 8BpNRbALqn  ,[-2.4932992  2.1285002  0.4554246],1
15368,neutral,  _ RAJA _ # Pakkiri Fun-filled Movie From This June 21 # PakkiriFromJune21 # 21DaysToGoPakkiri    â€¦  ,[-3.075515   1.448399   1.2534207],1
177,positive,  _ A _ D ___ M _ A _ N In sab films me sab cheez theek baith jati Like director vision great scenes good s â€¦  // t . co / CAzzTxoCxa  ,[-2.5513666  -0.37700963  2.4140508 ],2
