,uid,text,clean_text,predicted,predicted_proba
10,10426,RT @ DHEERAJ48968067 @ nirahua1 @ msunilbishnoi Wah bhai Shandaar jabab  ,dheeraj nirahua msunilbishnoi wah bhai shandaar jabab,neutral,"tensor([0.0455, 0.7974, 0.1571])"
11,3038,RT @ deepakrajput97 @ sohailm08283995 @ SiR2712 @ krishan _ goa @ reema _ sahanii suar tere jaiso ko sikhaya ja hi nahi sakta kyonki tu suar hai kh â€¦  ,deepakrajput sohailm sir krishan goa reema sahanii suar tere jaiso ko sikhaya ja hi nahi sakta kyonki tu suar hai kh â€¦,neutral,"tensor([0.4021, 0.4546, 0.1433])"
12,37328,@ UdarOfficial Tere jesy chotiya sath hoge jo k conceler banny k laiq be nhi hain to koj nai badalna Pakistan da  ,udaroffici tere jesi chotiya sath hoge jo k concel banni k laiq nhi hain koj nai badalna pakistan da,negative,"tensor([0.7326, 0.2100, 0.0573])"
13,11313,Samarthan ke aabhav aur rajnitik swartho ke karan iska kabhi bhi sahi nyay nahi Kiya Gaya roshavash dharmik imarat â€¦ https // t co / Dlsp4clk52  ,samarthan ke aabhav aur rajnitik swartho ke karan iska kabhi bhi sahi nyay nahi kiya gaya roshavash dharmik imarat â€¦ co dlspclk,neutral,"tensor([0.2512, 0.5036, 0.2452])"
14,32158,RT @ AnujVer43198765 @ narendramodi Congratulations sir ji Dobara pm banee ki hardik subhkamnaye aapko  ,anujv narendramodi congratul sir ji dobara pm bane ki hardik subhkamnay aapko,positive,"tensor([0.0040, 0.0441, 0.9519])"
15,2598,RT @ sahiljoshii Now kisan samman yojana for all no 5 Hector criteria anymore pension scheme for farmers 3000 rs per month and vaccin â€¦  ,sahiljoshii kisan samman yojana hector criteria anymor pension scheme farmer rs per month vaccin â€¦,neutral,"tensor([0.2211, 0.6607, 0.1182])"
16,12837,RT @ mis _ bahu No Enlish word has double '' oo '' except Good . Prove me wrong ?ðŸ¤— https // t . co / dNFMsFJNcF  ,mi bahu enlish word doubl oo except good prove wrong ðÿ¤— co dnfmsfjncf,neutral,"tensor([0.1299, 0.4557, 0.4144])"
17,26050,Modi ka lehar kisano pe baras raha kehar tut rahe haath pao road ki buri halato ka aasar @ aajtak @ BBCBreaking â€¦ https // t . co / 3FfAp8y2GP  ,modi ka lehar kisano pe bara raha kehar tut rahe haath pao road ki buri halato ka aasar aajtak bbcbreak â€¦ co ffapygp,negative,"tensor([0.6570, 0.2451, 0.0979])"
18,30898,@ ravindraj12 @ TarekFatah Yarr India me aise log b hain ??? Life me 1st time India ka koi banda Positive dekha Appreciate u bro ðŸ‡µðŸ‡°â¤ðŸ‡®ðŸ‡³  ,ravindraj tarekfatah yarr india ais log b hain life st time india ka koi banda posit dekha appreci u bro ðÿ‡µðÿ‡°â¤ðÿ‡®ðÿ‡³,neutral,"tensor([0.3911, 0.4633, 0.1457])"
19,22656,@ BaijnathMourya @ mssirsa @ AapkamanojS @ ArvindKejriwal Haan Mai free Wi-Fi dunga free water dunga Sasti Bijli doo â€¦ https // t co / d4uOIcb562  ,baijnathmourya mssirsa aapkamanoj arvindkejriw haan mai free wifi dunga free water dunga sasti bijli doo â€¦ co duoicb,neutral,"tensor([0.1746, 0.4449, 0.3805])"
20,2755,Log kitna bara chootiya hy jhoot ko such manker vote krdiya bcz of govt foult terror bring 100 + kg rdx and killed 5â€¦ https // t co / DKMZdwqd1c  ,log kitna bara chootiya hy jhoot ko manker vote krdiya bcz govt foult terror bring kg rdx kill â€¦ co dkmzdwqdc,negative,"tensor([0.7393, 0.1872, 0.0735])"
21,16061,@ asifnkhan08 @ SAUMEN _ BANERJ _ E @ JhaSanjay Time and circumstances ke sath jo change nhi hota vo sabse bada bewakuf ho â€¦ https // t co / GPIt7Q9zJx  ,asifnkhan saumen banerj e jhasanjay time circumst ke sath jo chang nhi hota vo sabs bada bewakuf ho â€¦ co gpitqzjx,neutral,"tensor([0.4177, 0.4455, 0.1367])"
22,3364,@ iawoolford Kuchh samajh aaya Shukla ji ? Thoda unko respect dena bhi sikh lo Tumhe kaun si south Indian language a â€¦ https // t co / EvFXqDkBZn  ,iawoolford kuchh samajh aaya shukla ji thoda unko respect dena bhi sikh lo tumh kaun si south indian languag â€¦ co evfxqdkbzn,negative,"tensor([0.4442, 0.3716, 0.1842])"
23,2926,@ AhmedRazaQadri Wah MASHA ALLAH ðŸ¥°ðŸ¥°â¤â¤ðŸŒ¹ðŸŒ¹ Bilkul ap Quran ePak ki tilawat itni achi krty hain k dil ko bht skon milta h â€¦ https // tco / K8OGQIeznf  ,ahmedrazaqadri wah masha allah ðÿ¥°ðÿ¥°â¤â¤ðÿœ¹ðÿœ¹ bilkul ap quran epak ki tilawat itni achi krti hain k dil ko bht skon milta h â€¦ tco kogqieznf,positive,"tensor([0.0572, 0.2312, 0.7116])"
24,29391,@ Sicilian __ Mafia Bhaai Engineers sirf love hi krte hain . Wo love marriage mai convert naaai hoti  ,sicilian mafia bhaai engin sirf love hi krte hain wo love marriag mai convert naaai hoti,neutral,"tensor([0.2568, 0.5416, 0.2015])"
25,36692,@ jaavedjaaferi @ MeezaanJ Congrats and best of luck to @ MeezaanJ @ jaavedjaaferi he reminds about you of your looks o â€¦ https // t co / xn4pbtUiCz  ,jaavedjaaferi meezaanj congrat best luck meezaanj jaavedjaaferi remind look â€¦ co xnpbtuicz,positive,"tensor([0.1755, 0.3657, 0.4588])"
26,24682,RT @ ImUrsTarun Zinda Hoon Main Tujhme Tujhme Rahunga Zinda Todke Sab Zanjeerein Main Aazad Parinda ðŸ”¥ One Of The Best Song Ever ðŸ’¥ ðŸ”¥ GO â€¦  ,imurstarun zinda hoon main tujhm tujhm rahunga zinda todk sab zanjeerein main aazad parinda ðÿ”¥ one best song ever ðÿ’¥ ðÿ”¥ go â€¦,neutral,"tensor([0.1654, 0.4770, 0.3576])"
27,21692,RT @ IshqFM You could win a free trip for two to watch India play for the world cup in England . You can invite Priya or maybe Alisha . That â€¦  ,ishqfm could win free trip two watch india play world cup england invit priya mayb alisha â€¦,neutral,"tensor([0.1517, 0.5948, 0.2535])"
28,16349,@ FaryalFKhan Seedi golian bersai he ... kisi ma himmat nahi unko poochay .. ka bher bukriyan thin jin ko mara ... Lanat puppet govt per  ,faryalfkhan seedi golian bersai kisi himmat nahi unko poochay ka bher bukriyan thin jin ko mara lanat puppet govt per,negative,"tensor([0.7258, 0.1846, 0.0896])"
29,22282,@ pearltaes why did i not see them kuch mahine pehle eye -  ,pearlta see kuch mahin pehl eye,neutral,"tensor([0.1820, 0.7054, 0.1126])"
30,9078,@ ZeeNews Mein toh chahta hoon ye resign na kare ... Ye jab tak rahega @ BJP4India aaram se elections jeetegi ... Aur ent â€¦ https // t . co / Djgtp4hTtb  ,zeenew mein toh chahta hoon ye resign na kare ye jab tak rahega bjpindia aaram se elect jeetegi aur ent â€¦ co djgtphttb,neutral,"tensor([0.2454, 0.6086, 0.1459])"
31,10672,i want to video edit with picsart but the subscription costs too much and im not that desperate to edit for 8 dollars per month . Sighhh .  ,want video edit picsart subscript cost much im desper edit dollar per month sighhh,neutral,"tensor([0.0713, 0.6274, 0.3014])"
32,44031,@ pbhushan1 Oxford ko apne pichwade mein Daal le .. who gives a fuck .. India has voted .. tum jaise chuzze ab 5 saal t â€¦ https // t . co / 0msQw3omXN  ,pbhushan oxford ko apn pichwad mein daal le give fuck india vote tum jais chuzz ab saal â€¦ co msqwomxn,negative,"tensor([0.5918, 0.2585, 0.1497])"
33,36522,Hon P M Modi Sir I Wish you best Luck and God bless you Shankar V Rathva Ex MLA Chhota-Udepur Gujarat  ,hon p modi sir wish best luck god bless shankar v rathva ex mla chhotaudepur gujarat,positive,"tensor([0.0169, 0.1498, 0.8333])"
34,16135,@ akki _ dhoni @_ iRajeev You are stalking me bro . Just shut up and nikal . Le . Faltu logo ki mention mein jagah nahi haii  ,akki dhoni irajeev stalk bro shut nikal le faltu logo ki mention mein jagah nahi haii,negative,"tensor([0.6376, 0.2438, 0.1185])"
35,18612,Tum jaise bike hue godi media ke show me nahi Jana rashtra hit me bahut achha faisla hai . Aise media ko parmanent i â€¦ https // t . co / Fyqer2WHG8  ,tum jais bike hue godi media ke show nahi jana rashtra hit bahut achha faisla hai ais media ko parman â€¦ co fyqerwhg,negative,"tensor([0.7023, 0.1952, 0.1025])"
36,5794,@ cchimbap My parents love them too so yes haha ðŸ˜‚ðŸ’œ almost everyone from my fam actually  ,cchimbap parent love ye haha ðÿ˜‚ðÿ’œ almost everyon fam actual,neutral,"tensor([0.2917, 0.4155, 0.2929])"
37,17667,Sir @ ArvindKejriwal Aap bhi aisa drama kr do kam se km https // t . co / hbCFHG6tek  ,sir arvindkejriw aap bhi aisa drama kr kam se km co hbcfhgtek,neutral,"tensor([0.1407, 0.6354, 0.2239])"
38,16583,RT @ thepradeep01 @ azkhawaja1 105 all out # HarJagahDher 150 run to bante nahi lekin kashmir chahiye bc .  ,thepradeep azkhawaja harjagahdh run bant nahi lekin kashmir chahiy bc,neutral,"tensor([0.3990, 0.4093, 0.1917])"
39,25678,RT @ Pratima48816302 @ GitaSKapoor Ye to aise apni details de rahe jaise iske Ghar ladki byahni ho humne apne .ðŸ˜‚ mansik santulan thik nhi iska â€¦  ,pratima gitaskapoor ye ais apni detail de rahe jais isk ghar ladki byahni ho humn apn ðÿ˜‚ mansik santulan thik nhi iska â€¦,neutral,"tensor([0.3320, 0.4070, 0.2610])"
40,10844,RT @ tarani07615489 @ PoliceRajasthan corruption ki complain pe aap dhayan Kyu nahi dete ? Mene 2 baar tweet kiya ki jalor Police ( Ahore ) fr â€¦  ,tarani policerajasthan corrupt ki complain pe aap dhayan kyu nahi dete mene baar tweet kiya ki jalor polic ahor fr â€¦,neutral,"tensor([0.3573, 0.5499, 0.0928])"
41,3791,@ ArnabGoswamiRtv @ RahulGandhi Kyu ki vo tumhari tarha chutiye nahi the Paid Media sale apne channel ka naam bhi â€¦ https // t . co / BNGlv19Wlj  ,arnabgoswamirtv rahulgandhi kyu ki vo tumhari tarha chutiy nahi paid media sale apn channel ka naam bhi â€¦ co bnglvwlj,negative,"tensor([0.8373, 0.1190, 0.0437])"
42,21624,@ SeharKamran @_ Mansoor _ Ali @ ExpressNewsPK @ SMARC _ PPP @ PPPPInfoSecy Ye nalaiqon ka tola Ya ALLAH Pakistan ki khair  ,seharkamran mansoor ali expressnewspk smarc ppp ppppinfoseci ye nalaiqon ka tola ya allah pakistan ki khair,neutral,"tensor([0.2348, 0.4168, 0.3484])"
43,43144,@ MajorPoonia mahilaye labh uthayengi . lekin vote bjp ko dengi . kyon ki 5 sal me kejariwsl ji ne kuch nahi kiya unko s â€¦ https // t . co / Bi4bChsJ38  ,majorpoonia mahilay labh uthayengi lekin vote bjp ko dengi kyon ki sal kejariwsl ji ne kuch nahi kiya unko â€¦ co bibchsj,neutral,"tensor([0.2572, 0.6288, 0.1140])"
44,42867,@ QasimalirazaAli Ye such bolne walo ko mar sakte lekin such ko daba nhi sakhte or such ko jitna dabane ki koshish k â€¦ https // t co / RNCi0uDlOd  ,qasimalirazaali ye boln walo ko mar sakt lekin ko daba nhi sakht ko jitna daban ki koshish k â€¦ co rnciudlod,neutral,"tensor([0.4351, 0.4657, 0.0992])"
45,40769,Setting up for our HII audit workshop with matrons Thank you ISS for your support and super refreshments https // t co / oQE5Fd2FBH  ,set hii audit workshop matron thank iss support super refresh co oqefdfbh,positive,"tensor([0.0509, 0.3825, 0.5666])"
46,17946,@ SpursOfficial Cheers lad . You lot just having a really good season hate to say that tbh but never forget that . Good luck for next season !  ,spursoffici cheer lad lot realli good season hate say tbh never forget good luck next season,neutral,"tensor([0.1542, 0.5264, 0.3194])"
47,843,@ Osamathemalang @ BilalKhanWriter @ fawadchaudhry Hahaha ye bnda hrksi ko kafir kehta rehta ha Apne ilawa isay koi musalman nazr hi niata  ,osamathemalang bilalkhanwrit fawadchaudhri hahaha ye bnda hrksi ko kafir kehta rehta ha apn ilawa isay koi musalman nazr hi niata,negative,"tensor([0.6446, 0.2717, 0.0837])"
48,23329,@ nirahua1 @ narendramodi @ myogiadityanath @ BJP4India jai jai jai AKHELISH jai SAMAJWAD PIR 5sal jhelna padega na â€¦ https // t co / avmQMEXZDQ  ,nirahua narendramodi myogiadityanath bjpindia jai jai jai akhelish jai samajwad pir sal jhelna padega na â€¦ co avmqmexzdq,positive,"tensor([0.1394, 0.3584, 0.5022])"
49,43516,JcdPs moulladad k hudood Goth faqeerabad me 3 chor chori karty hue Gaon walon k hath pakry gaye 1 Farar police ky hawaly . Nabi bux Pandrani  ,jcdp moulladad k hudood goth faqeerabad chor chori karti hue gaon walon k hath pakri gay farar polic ky hawali nabi bux pandrani,negative,"tensor([0.7701, 0.1388, 0.0911])"
50,13712,Unse toh achchi hai yeh cigarette ... dil ko jalati hai magar hoton pe toh aati hai .....ðŸ’”ðŸ’”ðŸ’” SMOKING AND LOVE BOTH C â€¦ https // t . co / rx1AYhkDCA  ,uns toh achchi hai yeh cigarett dil ko jalati hai magar hoton pe toh aati hai ðÿ’”ðÿ’”ðÿ’” smoke love c â€¦ co rxayhkdca,neutral,"tensor([0.3431, 0.3899, 0.2670])"
51,4424,@ ICC All the best Team India Jeet ke aana ðŸ‡®ðŸ‡³ðŸ‡®ðŸ‡³  ,icc best team india jeet ke aana ðÿ‡®ðÿ‡³ðÿ‡®ðÿ‡³,neutral,"tensor([0.3709, 0.4051, 0.2240])"
52,11422,@ AlinaButtPti @ MaryamNSharif @ FiyazChohanPTI Alina butt fayyaz hasaan jsa kutta aur begarit admi ha he ni is dunia â€¦ https // t . co / 91BQl9jx8Q  ,alinabuttpti maryamnsharif fiyazchohanpti alina butt fayyaz hasaan jsa kutta aur begarit admi ha ni dunia â€¦ co bqljxq,negative,"tensor([0.4885, 0.3773, 0.1341])"
53,17588,RT @ Being _ Zeeshan09 Main Turpeya Ghar se Dur # TurpeyaSong Mind Blowing Song Bhaijan ðŸ”¥ðŸ”¥ðŸ”¥ # Eid2019 # Bharat # BharatThisEid # 14DaysToBHARAT h â€¦  ,zeeshan main turpeya ghar se dur turpeyasong mind blow song bhaijan ðÿ”¥ðÿ”¥ðÿ”¥ eid bharat bharatthiseid daystobharat h â€¦,neutral,"tensor([0.0699, 0.4970, 0.4331])"
54,8745,@ priyankagandhi Esa koi exam nahi up govt . M jo in 2 saal m leak na huaa hu Ye to sarkar ki rajniti h ki na to ham â€¦ https // t . co / S1s6PxoHiJ  ,priyankagandhi esa koi exam nahi govt jo saal leak na huaa hu ye sarkar ki rajniti h ki na ham â€¦ co sspxohij,neutral,"tensor([0.3416, 0.5630, 0.0954])"
55,37006,@ Prince _ adi1 Listen to # Duniyaa from # LukaChuppi . I guess you'll love it ..!  ,princ adi listen duniyaa lukachuppi guess youll love,neutral,"tensor([0.0357, 0.5568, 0.4075])"
56,29291,RT @ ArmyBrigade13 Shall we get a few more Streams in of BOY WITH LUV Before the Wembley Concert Starts ?? Leave a Screen of your Stream ! ðŸ‘‡â€¦  ,armybrigad shall get stream boy luv wembley concert start leav screen stream ðÿ‘‡â€¦,neutral,"tensor([0.3218, 0.4116, 0.2665])"
57,5905,RT @ Chaosthestic Secondly maa baap ki izzat b koi cheez hoti hai . Har cheez ko support karna band karo . Just because she is a woman doesn â€¦  ,chaosthest secondli maa baap ki izzat b koi cheez hoti hai har cheez ko support karna band karo woman â€¦,negative,"tensor([0.5973, 0.2843, 0.1184])"
58,27921,Maleeda Sugar Free-Cholestrol Free-Gluten Free Yug me log sonch bhi nahi sakte ... ðŸ˜ https // t . co / 8928pYsnwY  ,maleeda sugar freecholestrol freegluten free yug log sonch bhi nahi sakt ðÿ˜ co pysnwi,neutral,"tensor([0.3388, 0.4846, 0.1766])"
59,8762,@ Yogeshwaraya @ dhanyarajendran I trust Dhanya to be active when it comes to women's issues .  ,yogeshwaraya dhanyarajendran trust dhanya activ come women issu,positive,"tensor([0.0255, 0.3096, 0.6648])"
60,42612,Aur godi media vale ko ab v aankhe nhi khuli to Desh rasatal me chala jayega . https // t . co / byeS5LVZQi  ,aur godi media vale ko ab v aankh nhi khuli desh rasat chala jayega co byeslvzqi,negative,"tensor([0.9330, 0.0449, 0.0221])"
61,34997,@ narendramodi government job ke bare me sharkar ku responsible nahi vacancy itni kam aur vo final nahi kar va pa r â€¦ https // t . co / gdatpvcuFQ  ,narendramodi govern job ke bare sharkar ku respons nahi vacanc itni kam aur vo final nahi kar va pa r â€¦ co gdatpvcufq,neutral,"tensor([0.3516, 0.4402, 0.2082])"
62,10988,Shame Shame ....!! Tu kese jinda hai twitter me ? Tujhe sharam nahi aate hai kya ?? Tere upar Modi ne Dalali Kiya . T â€¦ https // t . co / j8ZP2zPD8q  ,shame shame tu kese jinda hai twitter tujh sharam nahi aat hai kya tere upar modi ne dalali kiya â€¦ co jzpzpdq,negative,"tensor([0.7744, 0.1599, 0.0657])"
63,14844,Abay Ab b Tum log Zinda ho Sharam hoti he koi Haya hoti he Tuo Khud tu kamata nhi Jo tukhe atay k Bhao ka pata ho M â€¦ https // t . co / us5jFzBRGq  ,abay ab b tum log zinda ho sharam hoti koi haya hoti tuo khud tu kamata nhi jo tukh atay k bhao ka pata ho â€¦ co usjfzbrgq,negative,"tensor([0.4488, 0.4300, 0.1213])"
64,3014,@ yadavdimples @ priyankagandhi pehle to janta ne priyanka vadra gandhi ki jam ke chuski le li hai ... ab uska dhol ba â€¦ https // t . co / 8X1FaF7WO4  ,yadavdimpl priyankagandhi pehl janta ne priyanka vadra gandhi ki jam ke chuski le li hai ab uska dhol ba â€¦ co xfafwo,negative,"tensor([0.7601, 0.1465, 0.0934])"
65,20448,chalo bhai tum chahe din bhar opinions kyun na rakh lo but someone else starts having opinions without bothering yo â€¦ https // t . co / 4086iGSpNx  ,chalo bhai tum chahe din bhar opinion kyun na rakh lo someon els start opinion without bother yo â€¦ co igspnx,neutral,"tensor([0.3883, 0.4472, 0.1645])"
66,23905,Ab btaao ki isko samprdaayik roop kisne diya us ldke ne ya muslmaan ne ? @ KapilMishra _ IND @ sardanarohit â€¦ https // t co / HTPf2MAhxO  ,ab btaao ki isko samprdaayik roop kisn diya us ldke ne ya muslmaan ne kapilmishra ind sardanarohit â€¦ co htpfmahxo,negative,"tensor([0.4624, 0.4179, 0.1197])"
67,37296,@ Payal _ Rohatgi @ YouTube Tweets people do when they are irrelevant to the point ki koi ghaas nahi dalta  ,payal rohatgi youtub tweet peopl irrelev point ki koi ghaa nahi dalta,neutral,"tensor([0.1877, 0.5810, 0.2313])"
68,42856,@ Rammi No ðŸ˜… omg I can't remember which place that was I need to look lol  ,rammi ðÿ˜… omg cant rememb place need look lol,neutral,"tensor([0.1488, 0.5258, 0.3254])"
69,29080,@ kunalkamra88 @ officialArnab _ Kaun kaun iss baat se sehmat hai ki BJP urf RSS CONGRESS ki galatiyo ka phal hai ?  ,kunalkamra officialarnab kaun kaun iss baat se sehmat hai ki bjp urf rss congress ki galatiyo ka phal hai,negative,"tensor([0.8009, 0.1568, 0.0422])"
70,10822,@ narendramodi Dear Our PM Sree Narendra Modi ji Sir Ham Apke big fan hai sir please yadavo ke laaz ko Aap bachha ka â€¦ https // t co / lFcugw92aD  ,narendramodi dear pm sree narendra modi ji sir ham apk big fan hai sir pleas yadavo ke laaz ko aap bachha ka â€¦ co lfcugwad,positive,"tensor([0.0715, 0.1616, 0.7669])"
71,27237,RT @ DurexIndia Bade bade deshon mein aisi chhoti chhoti baatein hoti rehti hain ! Celebrate the freedom of love with Durex # LoveIsLove htt â€¦  ,durexindia bade bade deshon mein aisi chhoti chhoti baatein hoti rehti hain celebr freedom love durex loveislov htt â€¦,positive,"tensor([0.3111, 0.1282, 0.5607])"
72,31449,@ sardanarohit @ aajtak Good bhai very good abhi se 2024 ka prachar karna shuru tv k maadhyam se . Ye apki niji raay h â€¦ https // t . co / oeNLpz09rL  ,sardanarohit aajtak good bhai good abhi se ka prachar karna shuru tv k maadhyam se ye apki niji raay h â€¦ co oenlpzrl,neutral,"tensor([0.1368, 0.6040, 0.2592])"
73,10734,RT @ mw _ rao1 Desi moms ki Kam krny ki ajeeb science hoti hai . Aur Agr na mano to foran Dozakh ki dhamki ðŸ¤ðŸ˜Ÿ  ,mw rao desi mom ki kam krni ki ajeeb scienc hoti hai aur agr na mano foran dozakh ki dhamki ðÿ¤ðÿ˜ÿ,neutral,"tensor([0.3657, 0.4998, 0.1345])"
74,5739,RT @ pk22940470 How's the # chamche Kya haal hai chamcho ka Bada chilla rahe the Lahul Gandhi bn Gaya pm ðŸ˜€ðŸ˜€ðŸ˜€ðŸ˜€ðŸ˜…ðŸ˜€ðŸ˜…ðŸ˜€ðŸ˜…  ,pk how chamch kya haal hai chamcho ka bada chilla rahe lahul gandhi bn gaya pm ðÿ˜€ðÿ˜€ðÿ˜€ðÿ˜€ðÿ˜…ðÿ˜€ðÿ˜…ðÿ˜€ðÿ˜…,negative,"tensor([0.5619, 0.2837, 0.1544])"
75,41105,RT @ chirayu _ 96 hamari education system hi chutiye jaisi h ... ghanta achi job milegi . BC itne faltu subjects & alag alag languages padhayi â€¦  ,chirayu hamari educ system hi chutiy jaisi h ghanta achi job milegi bc itn faltu subject alag alag languag padhayi â€¦,negative,"tensor([0.5774, 0.2434, 0.1792])"
76,13394,# StayAwayFromHypocrisy @ Gurmeetramrahim Good morning guru g Bless nd give us power 4 Sewa Simran nd Parmarth Dh â€¦ https // t co / L8iOMoriDG  ,stayawayfromhypocrisi gurmeetramrahim good morn guru g bless nd give us power sewa simran nd parmarth dh â€¦ co liomoridg,positive,"tensor([0.0254, 0.3182, 0.6563])"
77,30013,à¤¸à¤µà¤¤à¥€à¤¨ # HIT _à¤¸à¤ˆà¤¯à¤¾ _ FIT Bhojpuri song 2019 super hit shishir panti thakur ... https // t . co / EBGheRPK3A via @ YouTube  ,à¤¸à¤µà¤¤à¥€à¤¨ hit à¤¸à¤ˆà¤¯à¤¾ fit bhojpuri song super hit shishir panti thakur co ebgherpka via youtub,positive,"tensor([0.0071, 0.4493, 0.5436])"
78,11032,Bhai ye to sahi h . mgr hamare pas h hi kya . Bjp ne to achut bna hi diya h . Nfrat bhir hi di logon ke dilon me . Khuda â€¦ https // t . co / QY5A9wAccl  ,bhai ye sahi h mgr hamar pa h hi kya bjp ne achut bna hi diya h nfrat bhir hi di logon ke dilon khuda â€¦ co qyawaccl,negative,"tensor([0.4745, 0.3438, 0.1818])"
79,19785,Wish you many many happy returns of the day @ SirPareshRawal I pray god for your good health and fortune â€¦ https // t co / v8UVVlTXxk  ,wish mani mani happi return day sirpareshraw pray god good health fortun â€¦ co vuvvltxxk,positive,"tensor([0.0130, 0.2507, 0.7364])"
80,21293,@ kaycinpoint guy groove has really fun choreos ! oh haha it doesnt matter jake and erica really do choose good songs tho  ,kaycinpoint guy groov realli fun choreo oh haha doesnt matter jake erica realli choos good song tho,neutral,"tensor([0.1698, 0.5853, 0.2448])"
81,21155,@ mahisub Gud mrng Actually aapka msg box show naHi kar raha hai otherwise mai aapko msg hi karta Aap mjhe ek msg â€¦ https // t . co / 89XTbVWhUV  ,mahisub gud mrng actual aapka msg box show nahi kar raha hai otherwis mai aapko msg hi karta aap mjhe ek msg â€¦ co xtbvwhuv,neutral,"tensor([0.2640, 0.5312, 0.2048])"
82,6056,Es me koi shak nahi k PTI hakumat me opposition siraf apne corrupt leaders ko bachane k lie bhonkte hain mulk k lie â€¦ https // t co / eb6HYYgu00  ,es koi shak nahi k pti hakumat opposit siraf apn corrupt leader ko bachan k lie bhonkt hain mulk k lie â€¦ co ebhyygu,negative,"tensor([0.5202, 0.3006, 0.1792])"
83,20984,@ BSNLCorporate My complain is network issue mere area me baar baar 3G network chala jate hai aur iski bahut baar co â€¦ https // t co / sbGbhjXgp8  ,bsnlcorpor complain network issu mere area baar baar g network chala jate hai aur iski bahut baar co â€¦ co sbgbhjxgp,neutral,"tensor([0.3800, 0.3966, 0.2234])"
84,25856,RT @ myeongddo AWW BBY ðŸ˜­ðŸ’–ðŸ’– I LOVE U SO MUCH my dms are always open ðŸ˜‰ https // t . co / 4MQkP7nxo4  ,myeongddo aww bbi ðÿ˜­ðÿ’–ðÿ’– love u much dm alway open ðÿ˜‰ co mqkpnxo,positive,"tensor([0.0982, 0.4449, 0.4570])"
