Uid,Sentiment,clean_text,proba,preds,actual
15559,negative, ji tumhare liye Mayawati hi h baki Bjp tumhare liye Kch bhi krle tumko nhi dikhega Bjp hi phle party h …  // t . co / Re1Ladf2Cy  ,[ 0.7157896   0.38805276 -1.1761931 ],0,negative
6678,positive,:two_hearts: Good morning my Rockstar papa  ji :two_hearts: :rose: Plz bless me more sewa sumiran parmarth ka ba …  // t co / b3Y2jcTRUN  ,[-2.146994   0.0968774  2.6615508],2,neutral
939,neutral, _ kalia  _ thaa What ??? You want hindi for uneducated people ?? Nice having a conversation with you bro .…  // t . co / i7X4RbPXv8  ,[-0.4336766   1.5535554  -0.93573874],1,neutral
38107,negative,Chubir's fans be like hum katwane ko taiyar h aao humara kat jao sale chutias :face_with_tears_of_joy:  ,[ 2.3619337 -1.2291337 -1.3858757],0,negative
4604,negative,    Sun be madharchod Teri ma ka bhosda Randi ke Teri maa k …  // t co / cs5MwipCPL  ,[ 2.7599401 -1.6599852 -1.4980023],0,neutral
13983,neutral,        …  // t co / fB2ysCnyQ1  ,[-0.7690335   1.6587474  -0.87718815],1,neutral
12761,positive,  Well done  this time you do very well as a host . Good job Ata aamchya apexanvr pani feru nka . Next wee …  ,[-2.6670585  0.781192   2.3908415],2,neutral
30279,negative, Afwahain Tere baap kuttey :dog: ke Marne ki thin lekin bhonk Kar tu Bata raha he tera baap kutta nhi khinzeer …  // t . co / cICQf4pYsc  ,[ 2.2692003 -1.126709  -1.4588163],0,positive
36844,neutral,   Arvind ji apki nautankion k karan apki ek bhi seat Delhi m Nahi ayi Apka …  // t co / Z3R5nSzBMp  ,[-1.0296113   1.4053062  -0.15194094],1,neutral
17369,negative, Ary Betichod Yeh Kia Mazzaq Hay Be Jail Se Bahar Aik Bar Bhi Koi Tabiyat Kharab Nahin Magar Andar Ja …  // t . co / X8Oocd6dLn  ,[ 1.2690573  0.1609374 -1.5377469],0,negative
28936,negative, 70salo me apki govt ne kya diya . babaji ka thullu . sudhar jao ab bji wqt h warna 52se 5par aa jaoge  ,[ 0.9679565  -0.32273388 -0.7722856 ],0,negative
15223,neutral, _  I hope I am one of the reasons a man somewhere in not hating women I hope I am :crying_face::crying_face:  ,[-1.7312536   1.7578627   0.22097267],1,positive
14543,positive,1010:sparkles: hiiiiiiiii i hope you ’ re having a great day today . we don ’ t interact much but i hope so in the near future ! ily and good day :yellow_heart::yellow_heart:  ,[-2.1019554  0.3209228  2.4783123],2,positive
28253,positive, Mehenga pad gya aapko Sir Ji Tohfa dena Par It was a very good way of gifting  ,[-2.6550994  1.0513507  2.1393754],2,negative
25346,positive,  Happy Birthday to my favourite actress  ♡ I am ur diehard fan a small fan in this huge world who watche …  ,[-1.5399005  -0.37132508  2.4953363 ],2,positive
31281,positive,  Happy birthday sir Aapne hame bahot hasaya aur bahot hi achi Achi filme di issi tar …  // t co / BMGr8dIQCc  ,[-2.0460343   0.12537657  2.4483979 ],2,positive
25512,neutral,13/14 yo niggas - baby mai chahti hun is eid mai jis colour ka dress pehnu tum bhi same usi colour ka dress pehno wh …  // t . co / hbtZ0uaKjy  ,[-1.6387913   2.1763694  -0.13618718],1,positive
18164,positive,  As salam O ali'kum Gud MorninG :two_hearts::cherry_blossom:  ,[-2.6002753  1.0578934  2.0443451],2,positive
21369,positive, Congratulations to achieve a great victory ......... hamari puri team ki taraf se aapko dher saari subhkamnaye ....  ,[-1.6227114 -0.5451767  2.720329 ],2,positive
6185,neutral, AjitTyagi  Samajh nahi aata kaun hain ye media houses jinko is giande ka interview lene ka shauk ha …  // t . co / lIcB2yJ9QM  ,[-0.6517947  1.9203575 -1.3710247],1,neutral
13933,positive, kasham she bahut khushi hui sir ji Badhai ho aapko sir ji Mujhe umid thi ki sarkaar aapki hi ban …  // t co / daqdqIsJuk  ,[-2.2107997   0.07812761  2.7108781 ],2,positive
5170,neutral, Ab ap ko esy rrmarks ni dyne chahy ab tu ap hath mila chuky hai ..... ya sirf maryam ko sath baitha …  // t . co / scZdlQyZr4  ,[-1.0983353   1.7062374  -0.47976804],1,negative
14967,neutral,  Sir with due respect ye EVM ke wajah se nahi hai .... Ye hamare desh me aap kal wahi jitega jo …  // t . co / GZv70yD0U8  ,[-1.2752457   1.335025   -0.03686821],1,neutral
19423,positive,   _ Happy birthday Chicha ! Have a great day ! :grinning_face_with_smiling_eyes:  ,[-2.198522    0.12157761  2.658731  ],2,positive
13465,neutral,   Bahut Hi Dukh Ho raha hai ..... ye kya ho gaya hai kya kanoon ka dar Bilku …  // t . co / rZ11uD2FOM  ,[-0.35715693  1.2667435  -0.7098207 ],1,neutral
15407,negative, Terri bhna ki choot pr suar hgakr tere mooh mai mai goings :pile_of_poo::pile_of_poo: madarchood knjrf ki oolad Teri bibi ki …  // t co / qzITI8QOFp  ,[ 2.637309  -1.4788918 -1.388392 ],0,negative
7883,positive,i love yoongi but hoseok ..... wow papi :zany_face:  // t . co / srgxlMZZ9l  ,[-2.6713445  1.5396734  1.7221828],2,positive
16050,negative, Sacha tahreek pakistan opposition k rawaye ko condem karty hai  ,[ 2.124773  -0.8830776 -1.5922035],0,negative
25200,positive,At last mehnat rang layi . Good news for # YehRishteyHainPyaarKe fandom .  // t . co / a40zpKIKAt  ,[-2.6114852  1.0094328  2.184705 ],2,positive
23247,negative,randi khulli ghumna hai ghoom le duniya ki dushman mat ban jo kaam hai yo dhamm dhamm jo hori hai yo fodd degi is …  // t . co / rWZSOUxdeC  ,[ 2.5696468 -1.7626495 -1.1518209],0,negative
15864,neutral,yes - i am done the realme 3 pro 6 / 128gb - booked today from flipkart - lagta hai aaj raat nind nhin hoga -…  // t . co / 9lbVSf9n7O  ,[-2.2666805   2.5333571   0.07540973],1,neutral
39610,positive,# ModiSwearingIn  Congratulations Modiji on your second term as our Prime Minister May Bhagwan Bholena …  // t co / dJeopcL9Te  ,[-1.6180121  -0.29025918  2.5479474 ],2,positive
44499,negative,   Yar zahid .. That girl is not eligiable for this post . Sabbb goal maa …  // t . co / WHye2QqwGD  ,[ 1.3162448   0.02046377 -1.690099  ],0,neutral
7906,neutral, Madam Abhi tak samajh me nahi aaya congress ki itani badi haar ka Karan AAP jayese social media per activ …  // t . co / t5FJvfn8f8  ,[-2.3657236  1.3465068  1.0630511],1,neutral
31537,positive,    Good initiative !! Kaushal ji app esei youth logo ko inspire ker …  // t co / wnMPHRtSna  ,[-2.1588836   0.31608233  2.421602  ],2,positive
24832,negative, _ d _ h _ nair  Arre  Congress walon opposition walon kab utroge be sadkon pe !? Kucch toh opposition ki izzat rakho .  ,[ 2.4007144 -0.9664239 -1.7605138],0,negative
29406,negative,   _ Sharma4 Abye chutiya ye choti chaddi gang krti hai muslamn nhi lgao uspr ki o …  // t . co / x9P7HkP5Fr  ,[ 2.7931085 -1.5354729 -1.6705157],0,neutral
14170,positive,     Happy birthday Kohinoor Baisaa :birthday_cake::face_blowing_a_kiss::wrapped_gift::party_popper::victory_hand::confetti_ball::birthday_cake::face_blowing_a_kiss::wrapped_gift::party_popper::party_popper: :tiger_face: Piti Ji always blesssss u :crown::clapping_hands:…  ,[-2.3910985  0.3842485  2.5494945],2,positive
25626,neutral, _ PIA  _ 54 Keep your tradition aside and change the fuck mind set and we had better experience of break leg than you .  ,[ 0.20523098  0.2300251  -0.55024654],1,negative
25823,positive,:cherry_blossom:ԼƖƔЄ ƖƝ 5! :cherry_blossom: FONITE FRIDAY BAYBEEEE ! CUSTOM GAMES ! LAST DAY TO ENTER GIVEAWAY . good luck )…  // t . co / HSov2bkdRi  ,[-2.1376638   0.37659767  2.4338613 ],2,negative
15565,negative,apne sad ka toti chek kiya hai ki usme se bund bund pani nikalta hai ki nahi .  // t . co / OhdqYYCi6X  ,[ 1.6174303  -0.49765357 -1.655592  ],0,neutral
30764,negative,Why do stations smell so bad bc naak k baal jal gaye  ,[ 1.6170644  -0.42498863 -1.5629821 ],0,negative
16013,positive, _ woods1  _ 7 Humetta i love your style of football :face_blowing_a_kiss::face_blowing_a_kiss::face_blowing_a_kiss:  ,[-2.368465   0.8538087  2.108582 ],2,positive
13127,neutral, _ Raftaar   Fir se bata kaun wala Sri Ram BJP wala ya Hindu wala .... Hume dar nahi …  // t . co / qiaNu4DqhM  ,[-0.17475311  1.6719952  -1.5873854 ],1,negative
26939,negative,  Abe tu Atnkbadi ki awlad ho afjal ki bat karte sarm nahi aati nathu ne to ek desh batne …  // t . co / NnH48LtJkk  ,[ 2.0978014 -1.0527278 -1.2548096],0,negative
38898,positive,  Every Test In Life Maks Us Bitter Or Better Every Prblm Comes To Make Us Or Break Us Choice Is Ours To Bcome Victim Or Vic …  ,[-1.7573109  -0.05295723  2.473688  ],2,neutral
1136,neutral,Day by day this slogan has proven to be true afghani bhagao mulk bachao !  ,[ 0.13125911  0.5618119  -0.935198  ],1,negative
17528,negative, sp bsp Cong tmc etc sari partio ke leader news chanals se gayab bjp ke bhi kuch time de rahe hai r …  // t co / 8DNDOhjena  ,[ 1.5605904  -0.04944764 -1.8472775 ],0,neutral
37043,positive,Modiji Mahan Hai Aur jadugar bhi Pakistan ne hamare jawanon ko Marne koshish ki to unhonne Akela Yudh Viman chal …  // t . co / pXcCXU1V7R  ,[-1.4958913   0.58326095  1.2099048 ],2,positive
19911,neutral, Ye himat en ko kbbi nhi mlni jub tak en k sathFawad Chaudhary etc or Murad Saeed jesy logo mojod ho !  ,[-1.4790776   1.7772328  -0.17364976],1,neutral
33173,neutral, _ ARockstar Ill cross my fingers for ya !! Im sure HOR wouldnt mind  ,[-1.4239359  2.2475188 -0.5407609],1,neutral
36955,negative,  Ye to apne suna hi hoga ki maa-baap k karmo ka fal bacho ko bhugtna padta h or aap logo k …  // t . co / YgjGsUsNvl  ,[ 1.5306062 -0.3181949 -1.4078895],0,negative
3618,negative,   _ ps Chota boy India is a democracy it means we have right to choose o …  // t . co / KTdvZ47HnF  ,[ 1.0846943  -0.66171205 -0.15285262],0,neutral
15863,positive,congratulations to Jay Narayan Mishra ji Nauri Nayak ji Nitesh Ganga Deb ji for the wonderful victory . Jay Maa Sam …  // t . co / 7sOdpjBTeg  ,[-2.1380987  -0.06300178  2.7289164 ],2,positive
42353,neutral, Are jo exam pending hai wo clear karao sir July August tak  ,[-0.9091981  2.1038854 -1.1036873],1,neutral
30098,positive,  _ makinde # ageBeeka was good ! Was very very good ! I mean same same level with asha .  ,[-2.28317     0.28608993  2.614329  ],2,positive
7846,positive,  Wish you a very Happy Birthday Akka . This is a special year for you with lot of responsibilities on your shoulders . Nanna ’ s bl …  ,[-1.9547364 -0.1238093  2.7001464],2,positive
