Uid,Sentiment,clean_text
42856,neutral, No ðŸ˜… omg I can't remember which place that was I need to look lol  
29080,negative,  _ Kaun kaun iss baat se sehmat hai ki BJP urf RSS CONGRESS ki galatiyo ka phal hai ?  
10822,positive, Dear Our PM Sree Narendra Modi ji Sir Ham Apke big fan hai sir please yadavo ke laaz ko Aap bachha ka â€¦  // t co / lFcugw92aD  
27237,positive,  Bade bade deshon mein aisi chhoti chhoti baatein hoti rehti hain ! Celebrate the freedom of love with Durex # LoveIsLove htt â€¦  
31449,positive,  Good bhai very good abhi se 2024 ka prachar karna shuru tv k maadhyam se . Ye apki niji raay h â€¦  // t . co / oeNLpz09rL  
10734,neutral,  _ rao1 Desi moms ki Kam krny ki ajeeb science hoti hai . Aur Agr na mano to foran Dozakh ki dhamki ðŸ¤ðŸ˜Ÿ  
5739,neutral,  How's the # chamche Kya haal hai chamcho ka Bada chilla rahe the Lahul Gandhi bn Gaya pm ðŸ˜€ðŸ˜€ðŸ˜€ðŸ˜€ðŸ˜…ðŸ˜€ðŸ˜…ðŸ˜€ðŸ˜…  
41105,negative,  _ 96 hamari education system hi chutiye jaisi h ... ghanta achi job milegi . BC itne faltu subjects & alag alag languages padhayi â€¦  
13394,positive,# StayAwayFromHypocrisy  Good morning guru g Bless nd give us power 4 Sewa Simran nd Parmarth Dh â€¦  // t co / L8iOMoriDG  
30013,positive,à¤¸à¤µà¤¤à¥€à¤¨ # HIT _à¤¸à¤ˆà¤¯à¤¾ _ FIT Bhojpuri song 2019 super hit shishir panti thakur ...  // t . co / EBGheRPK3A via   
11032,neutral,Bhai ye to sahi h . mgr hamare pas h hi kya . Bjp ne to achut bna hi diya h . Nfrat bhir hi di logon ke dilon me . Khuda â€¦  // t . co / QY5A9wAccl  
19785,positive,Wish you many many happy returns of the day  I pray god for your good health and fortune â€¦  // t co / v8UVVlTXxk  
21293,positive, guy groove has really fun choreos ! oh haha it doesnt matter jake and erica really do choose good songs tho  
21155,neutral, Gud mrng Actually aapka msg box show naHi kar raha hai otherwise mai aapko msg hi karta Aap mjhe ek msg â€¦  // t . co / 89XTbVWhUV  
6056,negative,Es me koi shak nahi k PTI hakumat me opposition siraf apne corrupt leaders ko bachane k lie bhonkte hain mulk k lie â€¦  // t co / eb6HYYgu00  
20984,neutral, My complain is network issue mere area me baar baar 3G network chala jate hai aur iski bahut baar co â€¦  // t co / sbGbhjXgp8  
25856,positive,  AWW BBY ðŸ˜­ðŸ’–ðŸ’– I LOVE U SO MUCH my dms are always open ðŸ˜‰  // t . co / 4MQkP7nxo4  
8240,neutral, Sir leave ..... maza nae ha Pakistan ma kici b media journalist ka .. q k yahn koe such Bolta e nae  
21721,positive,Today is big festival meri Bharath ma ka beta pure viswa me raaj karega sabke dil me sirf ek naam ' Modiji ' Bharath matha ki jai  
27783,positive,  Aaj ki # sheri thank you # farhanqiser lovely meeting you all # kamranjillani # adnanjillani # irfanmw # adilmurad # nomanmaso â€¦  
19625,positive,What an awesome ending to an epic drama # ranjharanjhakardi We will miss you  as # bhola on our scre â€¦  // t . co / 55P9aTgWwZ  
35006,neutral,Hiii i just made this acc and i want khh and krnb mutuals !!! i love sik k dpr live crush heize offonoff jus like this or follow me hehe  
17660,negative,  _ ali _ k    Present jo hai aapki deklo shameless beggars India is fastest growing Â  major Â â€¦  
23605,neutral,   _ vikash  _ deepakj   He said not just bjp ppl r Hindus even v r Hindus But as in politics t â€¦  
17224,neutral,  _ chauhan Hindi Rajbhasha he Rashtrabhasa nahi Kripya 10wi tak ki padhai kare  
23874,neutral, _ fatiiiii Nhi yaar yahan tw 1year walo k bhe khatam ho gye thy  
11284,negative,  Woh sab to theek hai par tumhara sore loser kaha hai !!! Pyaar baant raha tha ab swearing in â€¦  // t co / 6ubZ8R4rKx  
22701,neutral,  _ Ben _ Kay   So you should be able to evidence your claim . But you can â€:trade_mark: t . You made it up .  
25926,positive,  I am sorry for being rude . No I am sorry . It was my fault . Hehe I love you . I love you more . â¤ï¸ Beautiful are those â€¦  
11652,negative,EID ke iss Mubarak mauke par Unik Bazar lekar aaya hai aapke liye dhamekedaar offers Karein 3000 Rs ki khareedari â€¦  // t co / YHoCCjnKpP  
9458,neutral,   # HNY2 ki announcement hogyi to humka iss gola me nhi rehna hum nikal jaounga dusre gola me  
11081,positive,kuch apke banaye huye rishte boht khaas hoty hain phr woh apki life mein rahy nah rhy apke dil hamesha rehty or yeh â€¦  // t . co / vebWBOAkRX  
7285,neutral, Sir Bhim Army join karna Chahata hu M Please help m From Mp ðŸ:trade_mark:ðŸ:trade_mark: Jay bhim Jay Bharat  
2764,negative, _ shawn Not this again . Liza and haaru legit had a desi rotten egg on timeline last niggt . With chutiya chutiya everywhere  
40419,neutral,  Ye hai fasism ka phla stape ... 2022 target ... Hehe .. Ensan bnaya hai eshwar ne ...... Ldo aur mro  
44227,positive,  ðŸŽ¶ We've got a beatastic prize up for grabs ðŸŽ§ We've teamed up with our friends at  & giving you the chance to # WIN a pa â€¦  
21965,neutral,   Double attack Modi ka sath gaya Rahul ka Mila Ho gaya khela  
25875,negative, Chutiya gaye hain chuse huye aam ke fans ðŸ˜ disaster saala khud toh khel leta hain ladkiyon ke saath phir â€¦  // t co / Ftbg9hVpUs  
21921,negative, _ Sharma4 Congress kuj v krle koi fayda nahi Jo hindutva ka teer BJP ne chlaya hjab tak uska todd nahi nik â€¦  // t . co / FiEiOIRVR4  
18535,negative,  _ MEENA _ NKT  Election Commissioner haram khor ne sabh ke vote usko bech diya . Pai â€¦  // t . co / M6btp0F6s3  
5278,neutral,Sab free kar dete hai sir sab bheekh maang kar jeeyege  // t co / 8vHkWztg9b  
10444,neutral, _ durrani  _ quraishi PTI walon ka problem ye ha Wo mehngai ko b defend kar rahy hine . Haha  
43225,positive,Visvas kumar great leader i don't know but he is great human and we like his performance ðŸ˜„ðŸ˜„ðŸŽ¤  // t co / vzWRzwSdpH  
28263,negative,  RSS k thee isliye Kyuki kabhi koi veerta ka kaam kartey nahi  
37439,positive,Thank you so much apka ek new india banane ke liye Koti koti pradam apko  
1500,neutral,  DreTekDem One thing I â€:trade_mark: ve realized you can â€:trade_mark: t force nobody to see the bigger or to see that you got them when nobody else does . Imma ju â€¦  
27390,negative, Tu gulam hi or gulam rahega murkha bevkuf Desh drohi tu Pappu Khan ka mutre pe or Pakistan ja maderchd  
5166,positive,  â€œ Zindagi har lamha hai khushi kar isse dosti o yaara ve â€¦ â€ dedicate this special song to your besties sung by legendar â€¦  
17,negative, Shukar hai ye pathan nae warna # PTM nay is pr b wae dramay krnay thay . In ki harkato ki waja say bht jal â€¦  // t . co / u7k1EUYpk3  
17475,negative, Ek dum sahi kaha TV news ke jariye naam kaam liya paisa bana liya or ab boycott ka natak ... Joker saale  
24131,neutral, Fauj ko generally free hand hota hi hai . Par unki 1 limit hai jiske aage politicians ki responsibil â€¦  // t . co / x3bQEwPcaF  
14972,neutral, _ amit   _ bandvi   Bhai kaun janta hai ki usi ne karayi hai ab w â€¦  // t co / C2n4bK1aCz  
42421,neutral,  Congrats .. Asia subha apka nam nahe lia dekho retweet de dia na ðŸ¤—ðŸ¤—ðŸ¤—ðŸ˜˜ðŸ˜  
26724,neutral,   Rahul gandhi ne yeh kya sandesh desh ko diya ki party president ko power nahi â€¦  // t . co / nWArcx79FS  
37891,negative,Modiji to Mota Bhai - 100 run banate nahi Puri Pakistan ki team se aur inn chutiyo ko World Cup jeetna hai !!!â€¦  // t . co / wCttUcKijP  
11377,neutral,Aise seedhe muunh pe bol diya  bada potato ..... Sad ( We boycott you  _ amanna  // t . co / qyLEXvCZ0l  
20601,neutral,  ACTION NEEDED The RHA will be heard in the Senate Public Health Committee tomorrow (5/30) at 900 AM Please fill out â€¦  
7232,neutral,  _ singh0710 gussa ho sakta h bura hoo Par sabse jyada sachai ko gussa hi niklwaata h right or wrong ? ???  â€¦  
30579,negative,KUTCH NAHI DEKHA TOH KUCH NAHI DEKHA FOLLOW  FOLLOW US ON FACEBOOK  // t . co / TP5WurymTr FOLLOW US O â€¦  // t . co / jjgLsiG22q  
9185,negative,  Such kaha apka masla kya ap tu phatano k name p syasat kr rahy ho chutye ghaddar insan  
1918,negative, Kya media ne theka liya hai Congress ko improve karne ka ? 130 saal purani buddhi jarjar aur sadi g â€¦  // t . co / GJxmjNh8g4  
4134,positive,  Jai Shri Ram is the mark of respect to Bhagwaan Ram   
15585,positive,  Lots of lots best of the best Wishes the Team Modi Sabka Saath Sabka Vikas Sabka â€¦  // t co / CtHpGhsp5B  
30146,neutral,    _ dir Pehle chalta tha ab nahi pichle 2 saal ki Bollywood ki track check â€¦  // t . co / VZKticNi3R  
20936,neutral,  # 32YearsOfMrIndia ( May 29) Hawa Hawaii Karte Hain Hum Pyaar Kaate Nahi Katte Zindagi Ki Yahi Reet Classic superhero mo â€¦  
20757,neutral,  # Ramzan rush got  to turn into traffic cop for a while at Fateh Darwaza ðŸ˜„ We feel your pain .. # Hyderabad # Cha â€¦  
4304,negative, zindagi _ 5 Muslim samaj ki kutchh ldkiya pakke taur par ' din e islam ' ko manti hai agar usko kisi non muslim se lo â€¦  // t . co / s8K0bGDa3X  
24009,negative, Sacchi debate se bhagne wale congressi nahi hote . Punjipati yonke ishare par nachanewale media wa â€¦  // t . co / ssMJo9xRA3  
10865,negative, The _ Daredevil  _ pant Andhbhakto ki sulgaane me bahut mazaa aata hai tumhara hijda baap modi kabhi b sahi â€¦  // t co / QPnT6n3kZ5  
11302,neutral,  ghutan si hone lagi uss ke paas jate hue main khud se rooth gaya hun usey manaate hue ~ Azhar Iqbal  
12308,neutral, Aabe got 0 claimed 40 Kuch to bol kaya huaa !!!! Tuzhe to fayada hi hua na Ticket bech Kar Paisa banaya tum ne  
13925,positive,  Ab ek aacha aur positive comment dekhne ko mila ...... Hope fir se acche din aa jain .... I miss those days .  
21861,positive, Best dua yeh sab results tou dunia wi hai onke dar se tou buss onhe ke ataat chahye aur bulawa  
23801,neutral,Bta den plz hm intezar kr rhe rhe hn   // t . co / XvYgWyFAOa  
12919,positive, guru g give bless m more sewa simrn parmarth study gd mrng papa g  
32382,positive,  _ TheFilm     Jarur bhaijaan ... I'm excited about it  
9363,positive, Mere taraf se aapki mom Ko unki Janam diwas ki dher sari subhkamnaye ðŸ:trade_mark:  // t . co / fM9bigX583  
24884,negative, Tumhare baap aur khandan kia apni kamaye se Umrah karte the ? tum bc Randi ki bachi mo band kar k be â€¦  // t . co / AW18Yuy1Ml  
6705,positive,# Repost  Thanks for sharing ðŸ˜Š [ JANG KEUN SUK FILM CONCE TOUR ] We're kicking off June performances â€¦  // t . co / 8BpNRbALqn  
15368,neutral,  _ RAJA _ # Pakkiri Fun-filled Movie From This June 21 # PakkiriFromJune21 # 21DaysToGoPakkiri    â€¦  
177,positive,  _ A _ D ___ M _ A _ N In sab films me sab cheez theek baith jati Like director vision great scenes good s â€¦  // t . co / CAzzTxoCxa  
14937,negative, Bilkul krskti hy . Agr tm jaise bikao media suport krain na k 1 match harne se izzat utaro .  
21275,neutral, _ Waseem _ Ym  Prince bhai investigation officer ka naam zaroor cap sardar ho ga ðŸ˜…ðŸ˜…ðŸ˜…ðŸ˜…  
40205,positive,Adarniye bhaisab ko bahut bahut subhkamnaye badhai  // t co / RCxgdT9i0A  
7396,positive,  INDIA UPFRONT at 8pm Top 4 portfolios to see changes Modi-Shah finalise Cabinet list Big rewards for 2019 â€˜ Giant Kille â€¦  
6822,positive, Hsn _ Shah Nahi Noor !!! Aag to Pakistan team ne laga thi wo bhi first match me against wi . Kya khele hai !!! Wah !!!  
19943,negative,  Ye nich dusiyant debate me chilane aata hai . Kutte ki punch kabhi sidhhi nahi hotti .  
3266,negative,  Bilkul sahi kya namaz ka vakt badla ja sakta hai isme katai bhi bhed bhaav nahi hona â€¦  // t co / 3Q6AEojIM7  
10141,negative,Dosron ki 5 rupees ki chori rokte hen aur khud 10 rupees ki chori krlete hen Yeh soch he is quom ki  
31280,positive, Hadeed _ Fatema  _ ur _ Bae ALLAH ALLAH tumy keh rhi hun k dekho kitni cute lgo gi tum ðŸ˜‚ðŸ˜ˆ  
44653,neutral,Someone Ask To  _ rathee Election Khatam Ho Gye Ab Kya Karoge Dhruv Rathee - Aas Pass Ke Area Me JCB Ki Khuda â€¦  // t co / 6wndRtHavw  
31837,positive,   _ B Happy Birthday Farzu !  _ B he is a die hard fan ! Wish him and make his day plsss  
10933,neutral, _ NehaJoshi    Hamar pahad ki cheli kam nahi hai kisi se .ðŸ‘  
21589,neutral, Janta ka visvas aap ke sath h nhi to Kyse kah skti ho ki janta ka bharosa EVM se hta h Ye v to â€¦  // t co / ddRpUpkUWn  
13525,neutral, _ Ramanuj     Ek time me tukde tukde gang sudhar Jayenge but ye kaliya nahi sudhrega .. Chacha  
31380,negative,  teri maa panauti hai jisne tere ko janam diya ..... Apni AUKAAT na bhoola kro social media â€¦  // t . co / 5Ld5E4xnK9  
11251,neutral,  _ Bies Mera badla pura nahi hua dr .  // t . co / K4vXUmIWmw  
29583,neutral, Bhai jan lanat hai ap ki shakal pey .... agar sari family foreign national hai tu ap tweets b us country â€¦  // t . co / dwAZBrILMF  
4047,negative, _  _ 1 Ye SRK hater nhi hai bh  ke ... Jake puch tere baap se .. uska tatta hai ye ... Jaise â€¦  // t . co / 7Fgr6eTZtr  
25420,positive, yaar dekho i know you're awesome and you would never do that to me you're too good to be true â€¦  // t co / SlatpILAe0  
11401,positive,  Tum jio hajaro sal sal m din ho ek hajar very congratulations Karan ji  
30288,negative, Madarchod dont khada ho raha Aur ye to tere drawing room me hi hoga  
40377,positive,  I am so PROUD to call this my first show as an actor â¤ï¸ðŸ:trade_mark:ðŸ» Lautne ki tamanna hai meri aur waapsi ka bhi yakeen hai Mazhab ha â€¦  
29413,negative,    DESH KI SAMSYAYE MODI GIVT K LIYE CHALKENGE NAHI SAMASYAO K LIYE HAM LOG CHALLANGE H HSMAR â€¦  
37821,neutral,  Increase vacancies for SSC CGL 2017 Sabka Sath Sabka Vikas # IncreaseSSCCGL2017Vacancies # IncreaseSSCCGL17vacancies # Re â€¦  
268,negative,Debates me aakar bhi kya ukhad lete hai fake news ki stories pe agenda chalate hai r tameez to hai Hi nahi kisi â€¦  // t co / sBSrDtIaZZ  
31644,positive,GooD M ðŸ˜˜ rning Sai  ji ~ðŸ:trade_mark: Dhan Dhan Satguru Tera Hi Aasra ðŸ:trade_mark: Bless me vd sumiran + sewaful day in full of â€¦  // t . co / SuZNIgpfkE  
21066,neutral, _ pratim  Mungerilal ke hasin sapne ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ”¥  
10143,positive, My legend Man Mr . Amitab bachahan I Luv u sir me app ka fan nahi hu ap ke fan to bahut hongey par me ap â€¦  // t . co / 9lJclT5Beu  
18099,negative, Hahahaha ye to huamri desi amis wala haal hua . Pregnancy me chai nai peeni bacha kala paida hoga lol what even  
30341,neutral,  Sir you have reply to famous person . Hamare jaise sepoy ko no reply  
11225,negative, Achi jobmil gyi h tumhen Veena .. PTI Media Cell men .. MPA MNA tumhen koi nahin banaye ga .. apna BigBoss ki â€¦  // t . co / iuPGqTHF8w  
25572,neutral,# ModiSarkaar2 ka abhi se satya naas ?? India no longer world's fastest-growing economy  // t . co / bB3nYS3qBM  
27920,positive,  I love you Mian Sab .   // t . co / nDeGOwIBYn  
21268,neutral,Kuch Baaten Seedha Dil Par Lagti Hain Jaise â€œ You have used ðŸ’¯% of your data â€œ - Neeru  
39522,positive,Alhamdulillah welcome to my family my SON ... Eid se phly pyaaari C Eiddiiiii Shukr Alhamdulillah tera Laakh Laakh Shukr hai .... MashaAllah ðŸ‘¶  
7240,negative,  Yeh BC to MC bhi nikla  
9740,positive,  Everytime # MamataFrustrated acts up this Bengali song Bhoot amaar Poot Petni Amaar Jhi Ram Lakkhan Sathe Ache Korbe ama â€¦  
10780,negative,  Bhaijaan brainwashed youth hai . Education and jobs can change all this . Once article 35A â€¦  // t . co / bw9DrKYRJs  
12129,positive,  # WorldVictoriousSaint Prophecies of Nostradamus has come true Saint Rampal ji Maharaj ji is the True Maseeha who has defe â€¦  
33301,neutral,Can â€:trade_mark: t wait till my coworker come in in the morning cuz whybyou stuff this washer like this  
10803,neutral, _ sahanii Anti-nationals ki band baji huyi haiamit shah ji ke home minister banane ki vajah se  
43892,negative, Mr . Rahul it's not about to save constitution apko apni family ki sarkar chalani h .. Nation ko nahi Chala skte AP  
10852,negative,  _ stick678 Kash koi ho jo Pakistan ko bchaye Saray ghdaar ho gaye .. dunky raja ðŸ˜¡ðŸ˜¡  
22184,neutral, Have a good think about your Twitter handle and name . The two main political parties committed to d â€¦  // t . co / qLfsggv7wo  
26586,negative, Ulta latka ke Deep throat diya kya Rahul Gandhi ne ? Belt kyu laga hai tuze Suljiwala ?  
10523,neutral, _ Shaddy  _ awan007 Haha . Exactly . Andhi fan following khatam honi chaye .  
24651,positive, Bhai hard luck for you today . All the best for next season  
20454,negative,   Ye log jabra wala bhakt hai yahi sab fake news dikha dikha kar journalism ko â€¦  // t . co / plRlcsvBEe  
21647,neutral, Ham abhi enjoy Kar rahay hain 2 hour's bad sehri ka time ho GA Dubai me ... Phir khud hi banai gain ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚  
11068,negative,   _ 007 Confused fuse atma toh tum kud ho .. pichwade ka kida ko andar le lo pahle auranjeb ki aulad ðŸ˜ðŸ˜ðŸ˜  
14117,negative, NAN _ DINI I thought is bar didi ya jiju ko bnayenge president ðŸ˜‚ # disappointed firse budhiya ko bna diya  
21540,neutral, _ says    raheel to bht phly se ee mam se prhna chahta tha  
31818,neutral,  _ Gpa Wo masla koi nahi hai pakistani team nahi chahti thi k hum aftaari k time match dekhy aur rehmat ka waqt nikal jaye isi liye â€¦  
11753,negative, Congress me introlence aa gaya bhaj 2014 ka khud dava khud par hi bhari pad gaya hahahaa ye mo â€¦  // t co / duc31sSMK8  
28587,positive, Happy birthday sir one of the finest actor of India .. Main finest sabke liye nahi bolta ðŸ˜»ðŸ˜»ðŸ‘ðŸ‘ Mere ek â€¦  // t . co / Aietw3jwvF  
17934,neutral,Aur mechanical k laundo ko made easy ka material chiye to bhi mujhse sampark kar sakte hain  
29398,neutral,  Facts check ! Make in India !! no no no no ... It's Purchase in India   _ sgh  @â€¦  
6119,positive,  _ arts # cookierun I LOVE DINO SOUR  // t . co / kdu7aff6oH  
